store,title,slug,year,state,catalogue_on_sale_date,scraped_date,page_count,pages_downloaded,downloaded,id
woolworths,Woolworths Catalogue 30 Dec 2020 - 5 Jan 2021,woolworths-catalogue-30-dec-2020,2020,Multi-State,2020-12-30,2025-11-27T15:02:42.192096,41,41.0,True,9093
woolworths,Woolworths Catalogue 23 - 29 Dec 2020,woolworths-catalogue-23-dec-2020,2020,Multi-State,2020-12-23,2025-11-27T15:02:45.636211,53,53.0,True,9061
woolworths,Woolworths Catalogue Christmas 16 - 22 Dec 2020,woolworths-catalogue-16-dec-2020,2020,Multi-State,2020-12-16,2025-11-27T15:02:49.475627,65,65.0,True,9043
woolworths,Woolworths Catalogue Christmas Guide 16 - 22 Dec 2020,woolworths-catalogue-christmas-guide-16-dec-2020,2020,Multi-State,2020-12-16,2025-11-27T15:02:50.794865,24,24.0,True,9042
woolworths,Woolworths Catalogue 9 - 15 Dec 2020,woolworths-catalogue-9-dec-2020,2020,Multi-State,2020-12-09,2025-11-27T15:02:54.285954,63,63.0,True,9005
woolworths,"Woolworths Catalogue Christmas Guide 9 - 15 Dec, 2020",woolworths-catalogue-christmas-guide-9-dec-2020,2020,Multi-State,2020-12-09,2025-11-27T15:02:55.751143,24,24.0,True,9003
woolworths,Woolworths Catalogue 2 - 8 Dec 2020,woolworths-catalogue-2-dec-2020,2020,Multi-State,2020-12-02,2025-11-27T15:02:59.426208,61,61.0,True,8963
woolworths,Woolworths Catalogue Christmas Guide 2 - 8 Dec 2020,woolworths-catalogue-christmas-guide-2-dec-2020,2020,Multi-State,2020-12-02,2025-11-27T15:02:59.990328,10,10.0,True,8960
woolworths,Woolworths Catalogue 25 Nov - 1 Dec 2020,woolworths-catalogue-25-nov-2020,2020,Multi-State,2020-11-25,2025-11-27T15:03:03.879487,60,60.0,True,8927
woolworths,Woolworths Catalogue Health 25 Nov - 1 Dec 2020,woolworths-catalogue-health-25-nov-2020,2020,Multi-State,2020-11-25,2025-11-27T15:03:04.450916,8,8.0,True,8925
woolworths,Woolworths Catalogue New Products 25 Nov - 1 Dec 2020,woolworths-catalogue-new-products-25-nov-2020,2020,Multi-State,2020-11-25,2025-11-27T15:03:05.137272,10,10.0,True,8924
woolworths,Woolworths Catalogue Super Sale 25 Nov - 1 Dec 2020,woolworths-catalogue-super-sale-25-nov-2020,2020,Multi-State,2020-11-25,2025-11-27T15:03:05.431657,5,5.0,True,8923
woolworths,Woolworths Catalogue 18 - 24 Nov 2020,woolworths-catalogue-18-nov-2020,2020,Multi-State,2020-11-18,2025-11-27T15:03:09.396244,68,68.0,True,8899
woolworths,Woolworths Catalogue New Products 11 - 24 Nov 2020,woolworths-catalogue-new-products-11-24-nov-2020,2020,Multi-State,2020-11-11,2025-11-27T15:03:09.938501,10,10.0,True,8898
woolworths,Woolworths Catalogue 11 - 17 Nov 2020,woolworths-catalogue-11-nov-2020,2020,Multi-State,2020-11-11,2025-11-27T15:03:13.323620,58,58.0,True,8871
woolworths,Woolworths Catalogue Health and Beauty 11 - 17 Nov 2020,woolworths-catalogue-health-and-beauty-11-nov-2020,2020,Multi-State,2020-11-11,2025-11-27T15:03:13.863821,8,8.0,True,8870
woolworths,Woolworths Catalogue 4 - 10 Nov 2020,woolworths-catalogue-4-nov-2020,2020,Multi-State,2020-11-04,2025-11-27T15:03:17.055941,54,54.0,True,8844
woolworths,Woolworths Catalogue Health and Beauty 4 - 10 Nov 2020,woolworths-catalogue-health-and-beauty-4-10-nov-2020,2020,Multi-State,2020-11-04,2025-11-27T15:03:17.555376,8,8.0,True,8843
woolworths,Woolworths Catalogue Fresh Digital 4 - 10 Nov 2020,woolworths-catalogue-fresh-digital-4-10-nov-2020,2020,Multi-State,2020-11-04,2025-11-27T15:03:18.001702,8,8.0,True,8842
woolworths,Woolworths Catalogue 28 Oct - 3 Nov 2020,woolworths-catalogue-28-oct-2020,2020,Multi-State,2020-10-28,2025-11-27T15:03:20.733576,48,48.0,True,8816
woolworths,Woolworths Catalogue Spring Entertainment 28 Oct - 3 Nov 2020,woolworths-catalogue-spring-entertainment-28-oct-2020,2020,Multi-State,2020-10-28,2025-11-27T15:03:21.360735,9,9.0,True,8814
woolworths,Woolworths Catalogue 21 - 27 Oct 2020,woolworths-catalogue-21-oct-2020,2020,Multi-State,2020-10-21,2025-11-27T15:03:25.013186,59,59.0,True,8788
woolworths,Woolworths Catalogue Halloween 21 - 27 Oct 2020,woolworths-catalogue-halloween-21-oct-2020,2020,Multi-State,2020-10-21,2025-11-27T15:03:25.853104,14,14.0,True,8787
woolworths,Woolworths Catalogue 14 - 20 Oct 2020,woolworths-catalogue-14-oct-2020,2020,Multi-State,2020-10-14,2025-11-27T15:03:28.994502,55,55.0,True,8753
woolworths,Woolworths Catalogue 7 - 13 Oct 2020,woolworths-catalogue-7-oct-2020,2020,Multi-State,2020-10-07,2025-11-27T15:03:31.863104,47,47.0,True,8733
woolworths,Woolworths Catalogue Halloween 7 - 13 Oct 2020,woolworths-catalogue-halloween-7-oct-2020,2020,Multi-State,2020-10-07,2025-11-27T15:03:32.266708,4,4.0,True,8732
woolworths,Woolworths Catalogue Health and Beauty 7 - 13 Oct 2020,woolworths-catalogue-health-and-beauty-7-13-oct-2020,2020,Multi-State,2020-10-07,2025-11-27T15:03:32.769235,8,8.0,True,8723
woolworths,Woolworths Catalogue 30 Sep - 6 Oct 2020,woolworths-catalogue-30-sep-2020,2020,Multi-State,2020-09-30,2025-11-27T15:03:35.078292,50,50.0,True,8705
woolworths,Woolworths Catalogue 23 - 29 Sep 2020,woolworths-catalogue-23-sep-2020,2020,Multi-State,2020-09-23,2025-11-27T15:03:38.412135,55,55.0,True,8682
woolworths,Woolworths Catalogue 16 - 22 Sep 2020,woolworths-catalogue-16-sep-2020,2020,Multi-State,2020-09-16,2025-11-27T15:03:41.506471,53,53.0,True,8663
woolworths,Woolworths Catalogue 9 - 15 Sep 2020,woolworths-catalogue-9-sep-2020,2020,Multi-State,2020-09-09,2025-11-27T15:03:44.659032,56,56.0,True,8630
woolworths,Woolworths Catalogue 2 - 8 Sep 2020,woolworths-catalogue-2-sep-2020,2020,Multi-State,2020-09-02,2025-11-27T15:03:47.941155,58,58.0,True,8604
woolworths,Woolworths Catalogue 26 Aug - 1 Sep 2020,woolworths-catalogue-26-aug-2020,2020,Multi-State,2020-08-26,2025-11-27T15:03:51.256042,59,59.0,True,8580
woolworths,Woolworths Catalogue 19 - 25 Aug 2020,woolworths-catalogue-19-aug-2020,2020,Multi-State,2020-08-19,2025-11-27T15:03:53.856323,50,50.0,True,8557
woolworths,Woolworths Catalogue 12 - 18 Aug 2020,woolworths-catalogue-12-aug-2020,2020,Multi-State,2020-08-12,2025-11-27T15:03:56.790554,52,49.0,True,3249
woolworths,Woolworths Catalogue 5 - 11 Aug 2020,woolworths-catalogue-5-aug-2020,2020,Multi-State,2020-08-05,2025-11-27T15:03:59.794475,50,50.0,True,3227
woolworths,Woolworths Catalogue 29 Jul - 4 Aug 2020,woolworths-catalogue-29-jul-4-aug-2020,2020,Multi-State,2020-07-29,2025-11-27T15:04:03.122476,53,53.0,True,3176
woolworths,Woolworths Catalogue 22 - 28 Jul 2020,woolworths-catalogue-22-jul-2020,2020,Multi-State,1970-01-01,2025-11-27T15:04:06.645439,56,56.0,True,3157
woolworths,Woolworths Catalogue 15 - 21 Jul 2020,woolworths-catalogue-15-21-jul-2020,2020,Multi-State,1970-01-01,2025-11-27T15:04:09.507280,50,50.0,True,3131
woolworths,Woolworths Catalogue 8 - 14 Jul 2020,woolworths-catalogue-8-14-jul-2020,2020,Multi-State,1970-01-01,2025-11-27T15:04:12.820294,52,52.0,True,3111
woolworths,Woolworths Catalogue 1 - 7 Jul 2020,woolworths-catalogue-1-7-jul-2020,2020,Multi-State,1970-01-01,2025-11-27T15:04:15.941073,54,54.0,True,3084
woolworths,Woolworths Catalogue 24 - 30 Jun 2020,woolworths-catalogue-24-30-jun-2020,2020,Multi-State,1970-01-01,2025-11-27T15:04:18.815707,50,50.0,True,3066
woolworths,Woolworths Catalogue 17 - 23 Jun 2020,woolworths-catalogue-17-23-jun-2020,2020,Multi-State,1970-01-01,2025-11-27T15:04:21.519568,50,50.0,True,3042
woolworths,Woolworths Catalogue 10 - 16 Jun 2020,woolworths-catalogue-10-16-jun-2020,2020,Multi-State,1970-01-01,2025-11-27T15:04:24.510844,52,52.0,True,3009
woolworths,Woolworths Catalogue 3 - 9 Jun 2020,woolworths-catalogue-3-9-jun-2020,2020,Multi-State,1970-01-01,2025-11-27T15:04:27.448760,52,52.0,True,2995
woolworths,Woolworths Catalogue 27 May - 2 Jun 2020,woolworths-catalogue-27-may-2-jun-2020,2020,Multi-State,1970-01-01,2025-11-27T15:04:30.083436,47,47.0,True,2972
woolworths,Woolworths Catalogue 20 - 26 May 2020,woolworths-catalogue-20-26-may-2020,2020,Multi-State,1970-01-01,2025-11-27T15:04:32.207494,38,38.0,True,2956
woolworths,Woolworths Catalogue 13 - 19 May 2020,woolworths-catalogue-13-19-may-2020,2020,Multi-State,1970-01-01,2025-11-27T15:04:33.838375,33,33.0,True,2934
woolworths,Woolworths Catalogue 6 - 12 May 2020,woolworths-catalogue-6-12-may-2020,2020,Multi-State,1970-01-01,2025-11-27T15:04:35.700394,32,32.0,True,2909
woolworths,Woolworths Catalogue 29 Apr - 5 May 2020,woolworths-catalogue-29-apr-5-may-2020,2020,Multi-State,1970-01-01,2025-11-27T15:04:37.908024,39,39.0,True,2887
woolworths,Woolworths Catalogue 22 - 28 Apr 2020,woolworths-catalogue-22-28-apr-2020,2020,Multi-State,1970-01-01,2025-11-27T15:04:40.083333,41,41.0,True,2876
woolworths,Woolworths Catalogue 15 - 21 Apr 2020,woolworths-catalogue-15-21-apr-2020,2020,Multi-State,1970-01-01,2025-11-27T15:04:42.214655,38,38.0,True,2845
woolworths,Woolworths Catalogue 8 - 14 Apr 2020,woolworths-catalogue-8-14-apr-2020,2020,Multi-State,1970-01-01,2025-11-27T15:04:44.860838,36,36.0,True,2831
woolworths,Woolworths Catalogue 1 - 7 Apr 2020,woolworths-catalogue-1-7-apr-2020,2020,Multi-State,1970-01-01,2025-11-27T15:04:46.525235,25,25.0,True,2808
woolworths,Woolworths Catalogue Specials 30 Mar 2020 Easter,woolworths-catalogue-specials-30-mar-2020,2020,Multi-State,1970-01-01,2025-11-27T15:04:46.845842,5,5.0,True,2805
woolworths,Woolworths Catalogue 25 - 31 Mar 2020,woolworths-catalogue-25-31-mar-2020,2020,Multi-State,1970-01-01,2025-11-27T15:04:47.353666,9,9.0,True,2786
woolworths,Woolworths Catalogue Specials Mar 2020,woolworths-catalogue-specials-mar-2020,2020,Multi-State,1970-01-01,2025-11-27T15:04:48.791319,28,28.0,True,2777
woolworths,Woolworths Catalogue 18 - 24 Mar 2020,woolworths-catalogue-18-24-mar-2020,2020,Multi-State,1970-01-01,2025-11-27T15:04:52.039488,45,45.0,True,2753
woolworths,Woolworths Catalogue 11 - 17 Mar 2020,woolworths-catalogue-11-17-mar-2020,2020,Multi-State,1970-01-01,2025-11-27T15:04:54.303066,45,45.0,True,2738
woolworths,Woolworths Catalogue 4 - 10 Mar 2020,woolworths-catalogue-4-10-mar-2020,2020,Multi-State,1970-01-01,2025-11-27T15:04:56.876185,44,44.0,True,2702
woolworths,Woolworths Catalogue 26 Feb - 3 Mar 2020,woolworths-catalogue-26-feb-3-mar-2020,2020,Multi-State,1970-01-01,2025-11-27T15:04:59.578096,45,45.0,True,2690
woolworths,Woolworths Catalogue 19 - 25 Feb 2020,woolworths-catalogue-19-25-feb-2020,2020,Multi-State,1970-01-01,2025-11-27T15:05:02.439713,43,43.0,True,2669
woolworths,Woolworths Catalogue 12 - 18 Feb 2020,woolworths-catalogue-12-18-feb-2020,2020,Multi-State,1970-01-01,2025-11-27T15:05:05.282391,45,45.0,True,2642
woolworths,Woolworths Catalogue 5 - 11 Feb 2020,woolworths-catalogue-5-11-feb-2020,2020,Multi-State,1970-01-01,2025-11-27T15:05:08.148710,44,44.0,True,2607
