store,title,slug,year,state,catalogue_on_sale_date,scraped_date,page_count,pages_downloaded,downloaded,id
woolworths,Woolworths Catalogue 30 Dec 2020 - 5 Jan 2021,woolworths-catalogue-30-dec-2020,2020,Multi-State,2020-12-30,2026-01-03T09:27:31.264154,41,41.0,True,9093
woolworths,Woolworths Catalogue 23 - 29 Dec 2020,woolworths-catalogue-23-dec-2020,2020,Multi-State,2020-12-23,2026-01-03T09:27:37.087429,53,53.0,True,9061
woolworths,Woolworths Catalogue Christmas 16 - 22 Dec 2020,woolworths-catalogue-16-dec-2020,2020,Multi-State,2020-12-16,2026-01-03T09:27:43.253384,65,65.0,True,9043
woolworths,Woolworths Catalogue Christmas Guide 16 - 22 Dec 2020,woolworths-catalogue-christmas-guide-16-dec-2020,2020,Multi-State,2020-12-16,2026-01-03T09:27:47.257979,24,24.0,True,9042
woolworths,Woolworths Catalogue 9 - 15 Dec 2020,woolworths-catalogue-9-dec-2020,2020,Multi-State,2020-12-09,2026-01-03T09:27:53.544528,63,63.0,True,9005
woolworths,"Woolworths Catalogue Christmas Guide 9 - 15 Dec, 2020",woolworths-catalogue-christmas-guide-9-dec-2020,2020,Multi-State,2020-12-09,2026-01-03T09:27:57.456285,24,24.0,True,9003
woolworths,Woolworths Catalogue 2 - 8 Dec 2020,woolworths-catalogue-2-dec-2020,2020,Multi-State,2020-12-02,2026-01-03T09:28:03.594949,61,61.0,True,8963
woolworths,Woolworths Catalogue Christmas Guide 2 - 8 Dec 2020,woolworths-catalogue-christmas-guide-2-dec-2020,2020,Multi-State,2020-12-02,2026-01-03T09:28:06.433620,10,10.0,True,8960
woolworths,Woolworths Catalogue 25 Nov - 1 Dec 2020,woolworths-catalogue-25-nov-2020,2020,Multi-State,2020-11-25,2026-01-03T09:28:12.362814,60,60.0,True,8927
woolworths,Woolworths Catalogue Health 25 Nov - 1 Dec 2020,woolworths-catalogue-health-25-nov-2020,2020,Multi-State,2020-11-25,2026-01-03T09:28:15.114230,8,8.0,True,8925
woolworths,Woolworths Catalogue New Products 25 Nov - 1 Dec 2020,woolworths-catalogue-new-products-25-nov-2020,2020,Multi-State,2020-11-25,2026-01-03T09:28:17.969316,10,10.0,True,8924
woolworths,Woolworths Catalogue Super Sale 25 Nov - 1 Dec 2020,woolworths-catalogue-super-sale-25-nov-2020,2020,Multi-State,2020-11-25,2026-01-03T09:28:20.559577,5,5.0,True,8923
woolworths,Woolworths Catalogue 18 - 24 Nov 2020,woolworths-catalogue-18-nov-2020,2020,Multi-State,2020-11-18,2026-01-03T09:28:26.838605,68,68.0,True,8899
woolworths,Woolworths Catalogue New Products 11 - 24 Nov 2020,woolworths-catalogue-new-products-11-24-nov-2020,2020,Multi-State,2020-11-11,2026-01-03T09:28:29.730618,10,10.0,True,8898
woolworths,Woolworths Catalogue 11 - 17 Nov 2020,woolworths-catalogue-11-nov-2020,2020,Multi-State,2020-11-11,2026-01-03T09:28:35.489124,58,58.0,True,8871
woolworths,Woolworths Catalogue Health and Beauty 11 - 17 Nov 2020,woolworths-catalogue-health-and-beauty-11-nov-2020,2020,Multi-State,2020-11-11,2026-01-03T09:28:38.312423,8,8.0,True,8870
woolworths,Woolworths Catalogue 4 - 10 Nov 2020,woolworths-catalogue-4-nov-2020,2020,Multi-State,2020-11-04,2026-01-03T09:28:43.824051,54,54.0,True,8844
woolworths,Woolworths Catalogue Health and Beauty 4 - 10 Nov 2020,woolworths-catalogue-health-and-beauty-4-10-nov-2020,2020,Multi-State,2020-11-04,2026-01-03T09:28:46.583430,8,8.0,True,8843
woolworths,Woolworths Catalogue Fresh Digital 4 - 10 Nov 2020,woolworths-catalogue-fresh-digital-4-10-nov-2020,2020,Multi-State,2020-11-04,2026-01-03T09:28:49.427022,8,8.0,True,8842
woolworths,Woolworths Catalogue 28 Oct - 3 Nov 2020,woolworths-catalogue-28-oct-2020,2020,Multi-State,2020-10-28,2026-01-03T09:28:54.610898,48,48.0,True,8816
woolworths,Woolworths Catalogue Spring Entertainment 28 Oct - 3 Nov 2020,woolworths-catalogue-spring-entertainment-28-oct-2020,2020,Multi-State,2020-10-28,2026-01-03T09:28:57.573219,9,9.0,True,8814
woolworths,Woolworths Catalogue 21 - 27 Oct 2020,woolworths-catalogue-21-oct-2020,2020,Multi-State,2020-10-21,2026-01-03T09:29:03.215735,59,59.0,True,8788
woolworths,Woolworths Catalogue Halloween 21 - 27 Oct 2020,woolworths-catalogue-halloween-21-oct-2020,2020,Multi-State,2020-10-21,2026-01-03T09:29:06.373283,14,14.0,True,8787
woolworths,Woolworths Catalogue 14 - 20 Oct 2020,woolworths-catalogue-14-oct-2020,2020,Multi-State,2020-10-14,2026-01-03T09:29:11.758417,55,55.0,True,8753
woolworths,Woolworths Catalogue 7 - 13 Oct 2020,woolworths-catalogue-7-oct-2020,2020,Multi-State,2020-10-07,2026-01-03T09:29:16.967840,47,47.0,True,8733
woolworths,Woolworths Catalogue Halloween 7 - 13 Oct 2020,woolworths-catalogue-halloween-7-oct-2020,2020,Multi-State,2020-10-07,2026-01-03T09:29:19.561790,4,4.0,True,8732
woolworths,Woolworths Catalogue Health and Beauty 7 - 13 Oct 2020,woolworths-catalogue-health-and-beauty-7-13-oct-2020,2020,Multi-State,2020-10-07,2026-01-03T09:29:22.363741,8,8.0,True,8723
woolworths,Woolworths Catalogue 30 Sep - 6 Oct 2020,woolworths-catalogue-30-sep-2020,2020,Multi-State,2020-09-30,2026-01-03T09:29:27.556643,50,50.0,True,8705
woolworths,Woolworths Catalogue 23 - 29 Sep 2020,woolworths-catalogue-23-sep-2020,2020,Multi-State,2020-09-23,2026-01-03T09:29:33.030768,55,55.0,True,8682
woolworths,Woolworths Catalogue 16 - 22 Sep 2020,woolworths-catalogue-16-sep-2020,2020,Multi-State,2020-09-16,2026-01-03T09:29:38.445595,53,53.0,True,8663
woolworths,Woolworths Catalogue 9 - 15 Sep 2020,woolworths-catalogue-9-sep-2020,2020,Multi-State,2020-09-09,2026-01-03T09:29:43.987620,56,56.0,True,8630
woolworths,Woolworths Catalogue 2 - 8 Sep 2020,woolworths-catalogue-2-sep-2020,2020,Multi-State,2020-09-02,2026-01-03T09:29:49.800223,58,58.0,True,8604
woolworths,Woolworths Catalogue 26 Aug - 1 Sep 2020,woolworths-catalogue-26-aug-2020,2020,Multi-State,2020-08-26,2026-01-03T09:29:55.469825,59,59.0,True,8580
woolworths,Woolworths Catalogue 19 - 25 Aug 2020,woolworths-catalogue-19-aug-2020,2020,Multi-State,2020-08-19,2026-01-03T09:30:00.890173,50,50.0,True,8557
woolworths,Woolworths Catalogue 12 - 18 Aug 2020,woolworths-catalogue-12-aug-2020,2020,Multi-State,2020-08-12,2026-01-03T09:30:06.342359,52,49.0,True,3249
woolworths,Woolworths Catalogue 5 - 11 Aug 2020,woolworths-catalogue-5-aug-2020,2020,Multi-State,2020-08-05,2026-01-03T09:30:11.693407,50,50.0,True,3227
woolworths,Woolworths Catalogue 29 Jul - 4 Aug 2020,woolworths-catalogue-29-jul-4-aug-2020,2020,Multi-State,2020-07-29,2026-01-03T09:30:17.303697,53,53.0,True,3176
woolworths,Woolworths Catalogue 22 - 28 Jul 2020,woolworths-catalogue-22-jul-2020,2020,Multi-State,1970-01-01,2026-01-03T09:30:23.068168,56,56.0,True,3157
woolworths,Woolworths Catalogue 15 - 21 Jul 2020,woolworths-catalogue-15-21-jul-2020,2020,Multi-State,1970-01-01,2026-01-03T09:30:28.232355,50,50.0,True,3131
woolworths,Woolworths Catalogue 8 - 14 Jul 2020,woolworths-catalogue-8-14-jul-2020,2020,Multi-State,1970-01-01,2026-01-03T09:30:33.628135,52,52.0,True,3111
woolworths,Woolworths Catalogue 1 - 7 Jul 2020,woolworths-catalogue-1-7-jul-2020,2020,Multi-State,1970-01-01,2026-01-03T09:30:39.217649,54,54.0,True,3084
woolworths,Woolworths Catalogue 24 - 30 Jun 2020,woolworths-catalogue-24-30-jun-2020,2020,Multi-State,1970-01-01,2026-01-03T09:30:44.496260,50,50.0,True,3066
woolworths,Woolworths Catalogue 17 - 23 Jun 2020,woolworths-catalogue-17-23-jun-2020,2020,Multi-State,1970-01-01,2026-01-03T09:30:49.820309,50,50.0,True,3042
woolworths,Woolworths Catalogue 10 - 16 Jun 2020,woolworths-catalogue-10-16-jun-2020,2020,Multi-State,1970-01-01,2026-01-03T09:30:55.013247,52,52.0,True,3009
woolworths,Woolworths Catalogue 3 - 9 Jun 2020,woolworths-catalogue-3-9-jun-2020,2020,Multi-State,1970-01-01,2026-01-03T09:31:00.244786,52,52.0,True,2995
woolworths,Woolworths Catalogue 27 May - 2 Jun 2020,woolworths-catalogue-27-may-2-jun-2020,2020,Multi-State,1970-01-01,2026-01-03T09:31:05.088754,47,47.0,True,2972
woolworths,Woolworths Catalogue 20 - 26 May 2020,woolworths-catalogue-20-26-may-2020,2020,Multi-State,1970-01-01,2026-01-03T09:31:09.444331,38,38.0,True,2956
woolworths,Woolworths Catalogue 13 - 19 May 2020,woolworths-catalogue-13-19-may-2020,2020,Multi-State,1970-01-01,2026-01-03T09:31:14.099923,33,33.0,True,2934
woolworths,Woolworths Catalogue 6 - 12 May 2020,woolworths-catalogue-6-12-may-2020,2020,Multi-State,1970-01-01,2026-01-03T09:31:18.034773,32,32.0,True,2909
woolworths,Woolworths Catalogue 29 Apr - 5 May 2020,woolworths-catalogue-29-apr-5-may-2020,2020,Multi-State,1970-01-01,2026-01-03T09:31:22.661817,39,39.0,True,2887
woolworths,Woolworths Catalogue 22 - 28 Apr 2020,woolworths-catalogue-22-28-apr-2020,2020,Multi-State,1970-01-01,2026-01-03T09:31:27.311390,41,41.0,True,2876
woolworths,Woolworths Catalogue 15 - 21 Apr 2020,woolworths-catalogue-15-21-apr-2020,2020,Multi-State,1970-01-01,2026-01-03T09:31:31.740769,38,38.0,True,2845
woolworths,Woolworths Catalogue 8 - 14 Apr 2020,woolworths-catalogue-8-14-apr-2020,2020,Multi-State,1970-01-01,2026-01-03T09:31:36.186997,36,36.0,True,2831
woolworths,Woolworths Catalogue 1 - 7 Apr 2020,woolworths-catalogue-1-7-apr-2020,2020,Multi-State,1970-01-01,2026-01-03T09:31:40.056508,25,25.0,True,2808
woolworths,Woolworths Catalogue Specials 30 Mar 2020 Easter,woolworths-catalogue-specials-30-mar-2020,2020,Multi-State,1970-01-01,2026-01-03T09:31:42.821223,5,5.0,True,2805
woolworths,Woolworths Catalogue 25 - 31 Mar 2020,woolworths-catalogue-25-31-mar-2020,2020,Multi-State,1970-01-01,2026-01-03T09:31:45.898904,9,9.0,True,2786
woolworths,Woolworths Catalogue Specials Mar 2020,woolworths-catalogue-specials-mar-2020,2020,Multi-State,1970-01-01,2026-01-03T09:31:49.835676,28,28.0,True,2777
woolworths,Woolworths Catalogue 18 - 24 Mar 2020,woolworths-catalogue-18-24-mar-2020,2020,Multi-State,1970-01-01,2026-01-03T09:31:54.954415,45,45.0,True,2753
woolworths,Woolworths Catalogue 11 - 17 Mar 2020,woolworths-catalogue-11-17-mar-2020,2020,Multi-State,1970-01-01,2026-01-03T09:31:59.966540,45,45.0,True,2738
woolworths,Woolworths Catalogue 4 - 10 Mar 2020,woolworths-catalogue-4-10-mar-2020,2020,Multi-State,1970-01-01,2026-01-03T09:32:05.128758,44,44.0,True,2702
woolworths,Woolworths Catalogue 26 Feb - 3 Mar 2020,woolworths-catalogue-26-feb-3-mar-2020,2020,Multi-State,1970-01-01,2026-01-03T09:32:10.260020,45,45.0,True,2690
woolworths,Woolworths Catalogue 19 - 25 Feb 2020,woolworths-catalogue-19-25-feb-2020,2020,Multi-State,1970-01-01,2026-01-03T09:32:15.126703,43,43.0,True,2669
woolworths,Woolworths Catalogue 12 - 18 Feb 2020,woolworths-catalogue-12-18-feb-2020,2020,Multi-State,1970-01-01,2026-01-03T09:32:20.422459,45,45.0,True,2642
woolworths,Woolworths Catalogue 5 - 11 Feb 2020,woolworths-catalogue-5-11-feb-2020,2020,Multi-State,1970-01-01,2026-01-03T09:32:25.497170,44,44.0,True,2607
woolworths,Woolworths Catalogue 29 Jan - 4 Feb 2020,woolworths-catalogue-29-jan-4-feb-2020,2020,Multi-State,1970-01-01,2026-01-03T09:32:30.095017,40,40.0,True,2590
woolworths,Woolworths Catalogue 22 - 28 Jan 2020,woolworths-catalogue-22-28-jan-2020,2020,Multi-State,1970-01-01,2026-01-03T09:32:34.677034,39,39.0,True,2565
woolworths,Woolworths Catalogue 15 - 21 Jan 2020,woolworths-catalogue-15-21-jan-2020,2020,Multi-State,1970-01-01,2026-01-03T09:32:39.384420,37,37.0,True,2542
woolworths,Woolworths Catalogue Meals 15 - 21 Jan 2020 ,woolworths-catalogue-meals-15-21-jan-2020,2020,Multi-State,1970-01-01,2026-01-03T09:32:42.195255,8,8.0,True,2541
woolworths,Woolworths Catalogue 8 - 14 Jan 2020,woolworths-catalogue-8-14-jan-2020,2020,Multi-State,1970-01-01,2026-01-03T09:32:46.672135,38,38.0,True,2521
woolworths,Woolworths Catalogue 2 - 7 Jan 2020,woolworths-catalogue-2-7-jan-2020,2020,Multi-State,1970-01-01,2026-01-03T09:32:51.131273,37,37.0,True,2500
