_id,product_code,category,item_name,item_price,best_price,unit_price,special_text,promo_text,image,link
68a1c0379a405c5476087b39,494526,N/A,NIVEA 3in1 Refreshing Cleansing Wipes 25 Pack,N/A,7.35,$0.29 each,Special,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/494526",https://www.igashop.com.au/product/nivea-3in1-refreshing-cleansing-wipes-494526
68a1c0379a405c5476087b3a,190000007880,N/A,-196 Double Lemon 4 Pack,N/A,28.99,$7.25 each,Age restricted item,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/190000007880",https://www.igashop.com.au/product/-196-double-lemon-190000007880
68a1c0379a405c5476087b3b,6603474,N/A,19 Crimes Snoop Dogg Cali Red 750 Millilitre,2.13,16.00,per 100mL,Age restricted item,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/_6603474",https://www.igashop.com.au/product/19-crimes-snoop-dogg-cali-red-6603474
68a1c0379a405c5476087b3c,344519,N/A,3M Command Picture Hanging Strips Medium White 4 Pack,N/A,8.00,$2.00 each,N/A,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/344519",https://www.igashop.com.au/product/3m-command-picture-hanging-strips-medium-white-344519
68a1c0379a405c5476087b3d,200749,N/A,3M Command Wire Backed Picture Hanger White,N/A,6.20,N/A,N/A,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/200749",https://www.igashop.com.au/product/3m-command-wire-backed-picture-hanger-white-200749
68a1c0379a405c5476087b3e,180000001739,N/A,4 Pines Ultra Low Beer Cans 4 Pack,N/A,13.00,$3.25 each,N/A,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/180000001739",https://www.igashop.com.au/product/4-pines-ultra-low-beer-cans-180000001739
68a1c0379a405c5476087b3f,428622,N/A,7Up Lemonade Soda 1.25 Litre,2.52,3.15,per 1L,Special,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/428622",https://www.igashop.com.au/product/7up-lemonade-soda-428622
68a1c0379a405c5476087b40,442626,N/A,Abbott's Bakery Country Grains Bread 800 Gram,0.63,5.00,per 100g,25% Off,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/442626",https://www.igashop.com.au/product/abbotts-bakery-country-grains-bread-442626
68a1c0379a405c5476087b41,811082,N/A,Abbott's Bakery Farmhouse Wholemeal Bread 750 Gram,0.67,5.00,per 100g,25% Off,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/811082",https://www.igashop.com.au/product/abbotts-bakery-farmhouse-wholemeal-bread-811082
68a1c0379a405c5476087b42,811090,N/A,Abbott's Bakery Light Rye Bread 680 Gram,0.74,5.00,per 100g,25% Off,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/811090",https://www.igashop.com.au/product/abbotts-bakery-light-rye-bread-811090
68a1c0379a405c5476087b43,442595,N/A,Abbott's Bakery Rustic White Bread 700 Gram,0.71,5.00,per 100g,25% Off,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/442595",https://www.igashop.com.au/product/abbotts-bakery-rustic-white-bread-442595
68a1c0379a405c5476087b44,810167,N/A,Abbott's Bakery Sourdough Rye Loaf 760 Gram,0.70,5.30,per 100g,25% Off,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/810167",https://www.igashop.com.au/product/abbotts-bakery-sourdough-rye-loaf-810167
