sessions_count,avg_engagement_time_sec,pageviews_per_session,compare_ratio,specials_ratio,mylists_ratio,category_browse_ratio,product_detail_ratio,unique_pages_visited,browsing_entropy,days_since_first_visit,days_since_last_activity,user_pseudo_id,reporting_window_start,reporting_window_end,is_included_in_run
1,15.39,2.67,0.0,0.0,0.0,0.0382,0.0255,3,0.0112,10,10,syn_20260831_000001,2026-08-17,2026-08-30,1
5,194.98,9.85,0.0618,0.0694,0.275,0.1673,0.0697,19,0.75,14,1,syn_20260831_000002,2026-08-17,2026-08-30,1
3,163.32,5.57,0.0982,0.0104,0.1,0.1514,0.3,8,0.4323,9,6,syn_20260831_000003,2026-08-17,2026-08-30,1
4,97.8,6.74,0.3371,0.3073,0.0233,0.05,0.0219,14,0.6781,8,0,syn_20260831_000004,2026-08-17,2026-08-30,1
5,94.89,6.99,0.15,0.3113,0.0392,0.1342,0.0788,15,0.8408,8,4,syn_20260831_000005,2026-08-17,2026-08-30,1
5,152.71,5.68,0.25,0.1814,0.031,0.0789,0.0747,15,0.6049,12,0,syn_20260831_000006,2026-08-17,2026-08-30,1
4,90.5,8.0,0.2757,0.2894,0.0113,0.0617,0.0672,14,0.778,9,2,syn_20260831_000007,2026-08-17,2026-08-30,1
4,123.68,4.67,0.0524,0.0306,0.0315,0.2125,0.2151,8,0.5929,9,4,syn_20260831_000008,2026-08-17,2026-08-30,1
4,138.58,5.91,0.3015,0.2754,0.0302,0.1473,0.0216,10,0.6797,11,3,syn_20260831_000009,2026-08-17,2026-08-30,1
3,251.62,3.59,0.0876,0.0096,0.0441,0.1354,0.1866,6,0.347,6,4,syn_20260831_000010,2026-08-17,2026-08-30,1
1,38.56,2.0,0.0,0.0,0.0,0.0296,0.0495,2,0.1232,8,0,syn_20260831_000011,2026-08-17,2026-08-30,1
6,216.63,8.87,0.1019,0.0638,0.2456,0.1935,0.0997,13,0.6064,12,2,syn_20260831_000012,2026-08-17,2026-08-30,1
4,131.76,5.56,0.0558,0.0352,0.0202,0.1257,0.3,11,0.4019,9,6,syn_20260831_000013,2026-08-17,2026-08-30,1
6,145.5,5.42,0.2878,0.3217,0.0271,0.1389,0.0411,13,0.634,9,3,syn_20260831_000014,2026-08-17,2026-08-30,1
7,140.31,7.11,0.0787,0.0578,0.287,0.1422,0.1149,18,0.7377,9,2,syn_20260831_000015,2026-08-17,2026-08-30,1
4,110.66,6.7,0.2944,0.2455,0.0036,0.1142,0.0178,8,0.6579,9,1,syn_20260831_000016,2026-08-17,2026-08-30,1
2,217.67,5.51,0.053,0.0309,0.0,0.2205,0.2861,10,0.4102,9,0,syn_20260831_000017,2026-08-17,2026-08-30,1
3,243.32,6.72,0.075,0.0031,0.1,0.1522,0.2119,7,0.6014,9,3,syn_20260831_000018,2026-08-17,2026-08-30,1
2,152.87,6.75,0.0799,0.0448,0.0403,0.1466,0.2194,7,0.416,4,4,syn_20260831_000019,2026-08-17,2026-08-30,1
4,125.21,5.88,0.281,0.2067,0.0231,0.1281,0.077,9,0.6952,8,3,syn_20260831_000020,2026-08-17,2026-08-30,1
3,123.71,3.41,0.0648,0.036,0.0029,0.1096,0.1646,7,0.3894,8,4,syn_20260831_000021,2026-08-17,2026-08-30,1
2,283.38,3.65,0.0126,0.0351,0.0148,0.1267,0.2164,6,0.575,12,1,syn_20260831_000022,2026-08-17,2026-08-30,1
3,89.45,7.97,0.2218,0.3115,0.0116,0.1288,0.0596,9,0.8238,9,1,syn_20260831_000023,2026-08-17,2026-08-30,1
2,126.29,3.66,0.1,0.0443,0.0374,0.2253,0.2378,5,0.412,10,1,syn_20260831_000024,2026-08-17,2026-08-30,1
5,121.96,9.01,0.122,0.0843,0.1946,0.1835,0.1419,19,0.5876,6,1,syn_20260831_000025,2026-08-17,2026-08-30,1
8,184.93,9.6,0.1067,0.0523,0.2733,0.1211,0.0609,14,0.6546,12,0,syn_20260831_000026,2026-08-17,2026-08-30,1
5,180.0,7.44,0.1831,0.2265,0.0186,0.1335,0.0551,10,0.85,8,2,syn_20260831_000027,2026-08-17,2026-08-30,1
6,159.31,6.81,0.244,0.2625,0.0034,0.1011,0.0347,12,0.8297,10,3,syn_20260831_000028,2026-08-17,2026-08-30,1
6,224.63,5.49,0.0643,0.1173,0.1535,0.1,0.1498,19,0.5276,11,0,syn_20260831_000029,2026-08-17,2026-08-30,1
7,125.38,9.57,0.1255,0.0987,0.1992,0.1107,0.0932,20,0.7118,7,2,syn_20260831_000030,2026-08-17,2026-08-30,1
6,221.64,6.01,0.0888,0.0976,0.2676,0.1769,0.071,11,0.704,9,1,syn_20260831_000031,2026-08-17,2026-08-30,1
4,111.91,7.96,0.15,0.35,0.0253,0.0749,0.014,13,0.6723,10,0,syn_20260831_000032,2026-08-17,2026-08-30,1
4,216.23,4.2,0.1,0.0453,0.0624,0.1803,0.3,12,0.5883,14,6,syn_20260831_000033,2026-08-17,2026-08-30,1
5,127.75,7.8,0.3306,0.3464,0.021,0.0921,0.0649,8,0.744,9,2,syn_20260831_000034,2026-08-17,2026-08-30,1
1,29.26,2.72,0.0,0.0,0.0,0.0476,0.0135,2,0.0528,8,3,syn_20260831_000035,2026-08-17,2026-08-30,1
3,163.5,5.44,0.15,0.3049,0.0342,0.1025,0.0367,8,0.6484,9,1,syn_20260831_000036,2026-08-17,2026-08-30,1
1,23.88,2.44,0.0,0.0,0.0,0.0176,0.0028,2,0.0711,14,4,syn_20260831_000037,2026-08-17,2026-08-30,1
3,187.84,3.12,0.0393,0.014,0.0124,0.222,0.15,9,0.3013,9,1,syn_20260831_000038,2026-08-17,2026-08-30,1
1,10.84,2.49,0.0,0.0,0.0,0.0,0.0061,2,0.0664,9,2,syn_20260831_000039,2026-08-17,2026-08-30,1
1,26.4,2.99,0.0,0.0,0.0,0.0008,0.0118,3,0.0457,11,4,syn_20260831_000040,2026-08-17,2026-08-30,1
4,67.14,5.15,0.3265,0.3346,0.0247,0.0595,0.0306,13,0.6253,10,1,syn_20260831_000041,2026-08-17,2026-08-30,1
1,21.1,2.36,0.0,0.0,0.0,0.0283,0.0057,2,0.0639,4,0,syn_20260831_000042,2026-08-17,2026-08-30,1
3,134.17,5.58,0.035,0.0031,0.0686,0.1671,0.1631,9,0.6357,9,1,syn_20260831_000043,2026-08-17,2026-08-30,1
