Product Code,Category,Item Name,Best Price,Best Unit Price,Item Price,Unit Price,Link,Price Was,Special Text,Complex Promo Text
2511791,Fruit & Vegetables,Coles Bananas Mini Pack | 750g,4,5.331,4,5.331,https://www.coles.com.au/product/coles-bananas-mini-pack-750g-2511791,,,
5191256,Fruit & Vegetables,Coles Strawberries | 250g,5,20.001,5,20.001,https://www.coles.com.au/product/coles-strawberries-250g-5191256,,,
5543535,Fruit & Vegetables,Coles Blueberries Prepacked | 125g,7.5,60.001,7.5,60.001,https://www.coles.com.au/product/coles-blueberries-prepacked-125g-5543535,,,
4578148,Fruit & Vegetables,Coles Baby Cucumbers | 250g,4,16.001,4,16.001,https://www.coles.com.au/product/coles-baby-cucumbers-250g-4578148,,,
4236122,Fruit & Vegetables,Coles Baby Carrots Prepacked | 500g,1.5,3.001,1.5,3.001,https://www.coles.com.au/product/coles-baby-carrots-prepacked-500g-4236122,,,
4438477,Fruit & Vegetables,Coles Pink Lady Apples 1kg | 1 each,3.5,3.501,3.5,3.501,https://www.coles.com.au/product/coles-pink-lady-apples-1kg-1-each-4438477,,,
409499,Fruit & Vegetables,Coles Bananas | approx 170g,0.68,4.001,0.68,4.001,https://www.coles.com.au/product/coles-bananas-approx.-170g-409499,,,
5900891,Fruit & Vegetables,Coles Shepard Avocados | 1 each,1.2,1.201,1.2,1.201,https://www.coles.com.au/product/coles-shepard-avocados-1-each-5900891,,,
6955662,Fruit & Vegetables,Mission Original Wraps 8 pack | 567g,5.5,0.971,5.5,0.971,https://www.coles.com.au/product/mission-original-wraps-8-pack-567g-6955662,,,
6706395,Fruit & Vegetables,Coles White Seedless Grapes | approx 800g,6,7.501,6,7.501,https://www.coles.com.au/product/coles-white-seedless-grapes-approx.-800g-6706395,,,
407755,Fruit & Vegetables,Coles Broccoli | approx 340g,2.01,5.901,2.01,5.901,https://www.coles.com.au/product/coles-broccoli-approx.-340g-each-407755,,,
9006560,Fruit & Vegetables,Coles Carrots Prepacked | 1kg,2.4,2.401,2.4,2.401,https://www.coles.com.au/product/coles-carrots-prepacked-1kg-9006560,,,
134029,Fruit & Vegetables,Coles Raspberries | 125g,4,32.001,4,32.001,https://www.coles.com.au/product/coles-raspberries-125g-134029,,,
6706191,Fruit & Vegetables,Coles Red Seedless Grapes | approx 800g,3.76,4.701,3.76,4.701,https://www.coles.com.au/product/coles-red-seedless-grapes-approx.-800g-6706191,,,
4597109,Fruit & Vegetables,Coles Field Tomatoes Loose | approx 110g,1.09,9.901,1.09,9.901,https://www.coles.com.au/product/coles-field-tomatoes-loose-approx.-110g-4597109,,,
6706282,Fruit & Vegetables,Coles Black Grapes | approx 700g,4.2,6.001,4.2,6.001,https://www.coles.com.au/product/coles-black-grapes-approx.-700g-each-6706282,,,
4910506,Fruit & Vegetables,Coles Green Zucchini | approx 200g,0.98,4.901,0.98,4.901,https://www.coles.com.au/product/coles-green-zucchini-approx.-200g-4910506,,,
4575605,Fruit & Vegetables,Coles Continental Cucumbers Loose | 1 each,2.9,2.901,2.9,2.901,https://www.coles.com.au/product/coles-continental-cucumbers-loose-1-each-4575605,,,
4584071,Fruit & Vegetables,Coles Iceberg Lettuce | 1 each,3.2,3.201,3.2,3.201,https://www.coles.com.au/product/coles-iceberg-lettuce-1-each-4584071,,,
4239517,Fruit & Vegetables,Fresh Brown Onions Loose | approx 180g,0.7,3.901,0.7,3.901,https://www.coles.com.au/product/fresh-brown-onions-loose-approx.-180g-each-4239517,,,
5226000,Fruit & Vegetables,Coles Royal Gala Apples Loose | approx 160g,0.78,4.901,0.78,4.901,https://www.coles.com.au/product/coles-royal-gala-apples-loose-approx.-160g-each-5226000,,,
4575208,Fruit & Vegetables,Coles Lebanese Cucumbers | approx 160g,1.26,7.901,1.26,7.901,https://www.coles.com.au/product/coles-lebanese-cucumbers-approx.-160g-4575208,,,
