category,model,sMAPE,MASE
1f5,Naive,13.349578850308898,3.053867403314916
1f5,ARIMA,6.012131281102824,1.2868784530386739
1f5,ETS,,
3b3,Naive,14.36873341494568,3.448556053811658
3b3,ARIMA,4.575950953445185,1.039183856502241
3b3,ETS,,
485,Naive,15.374762377661874,4.2932577565632455
485,ARIMA,8.0887440686243,2.090878579952266
485,ETS,,
4ae,Naive,14.632864575230116,4.2913657255416915
4ae,ARIMA,5.989538326658325,1.6711465856861454
4ae,ETS,,
547,Naive,15.47779326193538,4.624823908231031
547,ARIMA,7.394256475297275,2.082511571744817
547,ETS,,
560,Naive,14.84383811844425,4.684812324516033
560,ARIMA,6.9661457124516994,2.030349490172897
560,ETS,,
587,Naive,16.511597359196656,4.8228116445216
587,ARIMA,4.1275281424124195,1.127094878814182
587,ETS,,
5fd,Naive,14.251867251937883,3.3538954307985738
5fd,ARIMA,5.096278409914374,1.1098349780247114
5fd,ETS,,
7a4,Naive,14.103885474492914,3.8218475073313773
7a4,ARIMA,6.536137282887859,1.6631231671554254
7a4,ETS,,
9a6,Naive,13.306582269190889,3.037951841200022
9a6,ARIMA,5.3729286727519,1.1494952912648735
9a6,ETS,,
9e6,Naive,14.806457017703107,4.073523201182496
9e6,ARIMA,6.8321892776970365,1.7508446391806987
9e6,ETS,,
b99,Naive,13.731129851174668,3.7737475395263207
b99,ARIMA,6.363893317456751,1.6149914280271767
b99,ETS,,
ba6,Naive,14.322288808729965,3.7910910379029397
ba6,ARIMA,5.433616212796532,1.3481225646475374
ba6,ETS,,
c45,Naive,13.749149263473,3.845255263916929
c45,ARIMA,5.406749914773493,1.4126766657052192
c45,ETS,,
c95,Naive,14.865794042291267,3.568714034526852
c95,ARIMA,6.30019776606859,1.4210957480818416
c95,ETS,,
ca7,Naive,16.180955237752062,3.9504389691305577
ca7,ARIMA,5.147110476056116,1.1689323137921268
ca7,ETS,,
d5a,Naive,13.462020963118432,3.578314303146516
d5a,ARIMA,4.712923197754753,1.1631221127865417
d5a,ETS,,
d73,Naive,14.951781414538338,4.174973387268472
d73,ARIMA,9.125833392671565,2.32336597828401
d73,ETS,,
e1f,Naive,13.181511284034721,3.405036881494643
e1f,ARIMA,5.302698852774897,1.2892909061540947
e1f,ETS,,
e25,Naive,13.2453088416711,3.4629943502824854
e25,ARIMA,5.293750296995096,1.3055084745762697
e25,ETS,,
e79,Naive,15.822292553670724,3.350156433320298
e79,ARIMA,8.47618228575364,1.6426671881110693
e79,ETS,,
f59,Naive,14.644267520951672,3.9504593001646047
f59,ARIMA,7.177245085758874,1.8035230712048
f59,ETS,,
fea,Naive,12.95459708130213,3.048305156203888
fea,ARIMA,9.051009402816087,1.9467937096842187
fea,ETS,,
