Unit price,Best price,Date,Transaction ID,Quantity,Store name,Total,Sub-category,Discount,Item ID,Category,Brand,Customer ID,Payment type,Location,Gender
19.56,18.39,2/3/2025,COL-601-117-20250302-5082,5,Coles,91.95,Chicken,1.17,ITEM8684,Bakery,Helga's,CUST7320,EFTPOS,Sydney,Male
13.53,13.48,17/3/2025,COL-601-117-20250317-5005,3,Coles,40.44,Ice Cream,0.05,ITEM2421,Produce,Aussie Greens,CUST9570,EFTPOS,Darwin,Female
13.18,12.47,25/3/2025,COL-601-117-20250325-5090,4,Coles,49.88,Chips,0.71,ITEM5646,Bakery,Tip Top,CUST5391,Credit Card,Brisbane,Female
10.67,10.47,26/3/2025,COL-601-117-20250326-5076,4,Coles,41.88,Ice Cream,0.2,ITEM8417,Frozen,Birds Eye,CUST2457,Credit Card,Adelaide,Male
4.23,3.47,12/3/2025,COL-601-117-20250312-5056,5,Coles,17.35,Sauces,0.76,ITEM5613,Snacks,Smith's,CUST8376,Credit Card,Sydney,Female
3.97,3.24,23/3/2025,COL-601-117-20250323-5037,1,Coles,3.24,Milk,0.73,ITEM4474,Frozen,Ingham,CUST4668,Gift Card,Hobart,Male
17.98,13.55,16/3/2025,COL-601-117-20250316-5080,3,Coles,40.65,Milk,4.43,ITEM3901,Bakery,Wonder White,CUST7149,Credit Card,Perth,Female
18.46,17.45,1/3/2025,COL-601-117-20250301-5016,2,Coles,34.9,Chicken,1.01,ITEM9076,Frozen,McCain,CUST7648,Credit Card,Brisbane,Male
10.93,8.15,2/3/2025,COL-601-117-20250302-5062,1,Coles,8.15,Veggies,2.78,ITEM1719,Frozen,Birds Eye,CUST5367,Cash,Canberra,Male
4.93,3.62,3/3/2025,COL-601-117-20250303-5023,5,Coles,18.1,Soft Drinks,1.31,ITEM3455,Beverages,Schweppes,CUST2898,Credit Card,Brisbane,Female
4.23,3.47,12/3/2025,COL-601-117-20250312-5059,5,Coles,17.35,Sauces,0.76,ITEM5613,Snacks,Smith's,CUST8376,Credit Card,Sydney,Female
6.36,4.53,13/3/2025,COL-601-117-20250313-5073,4,Coles,18.12,Ice Cream,1.83,ITEM4702,Bakery,Tip Top,CUST2049,Credit Card,Darwin,Female
6.98,6.73,16/3/2025,COL-601-117-20250316-5010,4,Coles,26.92,Chips,0.25,ITEM6058,Bakery,Tip Top,CUST9815,Credit Card,Hobart,Male
8.52,8.16,13/3/2025,COL-601-117-20250313-5047,4,Coles,32.64,Veggies,0.36,ITEM5711,Dairy,Devondale,CUST4569,Credit Card,Hobart,Female
8.82,6.88,14/3/2025,COL-601-117-20250314-5002,1,Coles,6.88,Sauces,1.94,ITEM5175,Produce,Aussie Greens,CUST9243,Credit Card,Perth,Female
19.09,14.68,27/3/2025,COL-601-117-20250327-5015,1,Coles,14.68,Milk,4.41,ITEM3900,Meat,MeatMaster,CUST7179,EFTPOS,Darwin,Male
3.08,2.83,8/3/2025,COL-601-117-20250308-5020,1,Coles,2.83,Soft Drinks,0.25,ITEM5446,Beverages,Pepsi,CUST7614,Credit Card,Hobart,Female
6.37,5.34,4/3/2025,COL-601-117-20250304-5097,3,Coles,16.02,Chicken,1.03,ITEM8610,Bakery,Wonder White,CUST7707,Cash,Canberra,Male
16.89,12.43,19/3/2025,COL-601-117-20250319-5069,1,Coles,12.43,Veggies,4.46,ITEM8424,Pantry,Heinz,CUST7731,Credit Card,Brisbane,Female
2.76,2.72,17/3/2025,COL-601-117-20250317-5036,1,Coles,2.72,Bread,0.04,ITEM3176,Snacks,Pringles,CUST4805,EFTPOS,Sydney,Female
17.82,13.94,23/3/2025,COL-601-117-20250323-5024,3,Coles,41.82,Soft Drinks,3.88,ITEM4666,Pantry,Heinz,CUST9967,EFTPOS,Adelaide,Female
16.89,12.43,19/3/2025, COL-601-117-20250319-5069,1,Coles,12.43,Veggies,4.46,ITEM8424,Pantry,Heinz,CUST7731,Credit Card,Brisbane,Female
3.51,3.4,10/3/2025,COL-601-117-20250310-5068,3,Coles,10.2,Ice Cream,0.11,ITEM2875,Pantry,Uncle Tobys,CUST3742,Credit Card,Canberra,Male
9.73,9.11,28/3/2025,COL-601-117-20250328-5008,3,Coles,27.33,Sauces,0.62,ITEM7182,Meat,Coles Brand,CUST9399,Credit Card,Hobart,Female
17.81,17.19,1/3/2025,COL-601-117-20250301-5075,2,Coles,34.38,Chips,0.62,ITEM2000,Pantry,Heinz,CUST5136,Credit Card,Sydney,Female
2.09,1.91,10/3/2025,COL-601-117-20250310-5081,3,Coles,5.73,Veggies,0.18,ITEM7271,Meat,MeatMaster,CUST4423,Credit Card,Melbourne,Male
3.97,3.24,23/3/2025,COL-601-117-20250323-5037,1,Coles,3.24,Milk,0.73,ITEM4474,Frozen,Ingham,CUST4668,Gift Card,Hobart,Male
19.86,16.86,29/3/2025,COL-601-117-20250329-5095,1,Coles,16.86,Milk,3.0,ITEM9276,Dairy,Bulla,CUST7840,EFTPOS,Brisbane,Male
4.93,3.62,3/3/2025,COL-601-117-20250303-5023,5,Coles,18.1,Soft Drinks,1.31,ITEM3455,Beverages,Schweppes,CUST2898,Credit Card,Brisbane,Female
8.52,8.16,13/3/2025,COL-601-117-20250313-5047,4,Coles,32.64,Veggies,0.36,ITEM5711,Dairy,Devondale,CUST4569,Credit Card,Hobart,Female
5.54,4.44,3/3/2025,COL-601-117-20250303-5092,1,Coles,4.44,Soft Drinks,1.1,ITEM2852,Bakery,Tip Top,CUST2112,Credit Card,Sydney,Female
16.39,12.74,15/3/2025,COL-601-117-20250315-5003,4,Coles,50.96,Chicken,3.65,ITEM9409,Bakery,Tip Top,CUST3378,EFTPOS,Darwin,Male
6.36,4.53,13/3/2025,COL-601-117-20250313-5073,4,Coles,18.12,Ice Cream,1.83,ITEM4702,Bakery,Helga's,CUST2049,Credit Card,Sydney,Female
17.98,13.55,16/3/2025,COL-601-117-20250316-5080,3,Coles,40.65,Milk,4.43,ITEM3901,Bakery,Wonder White,CUST7149,Credit Card,Perth,Female
6.92,6.27,22/3/2025,COL-601-117-20250322-5050,2,Coles,12.54,Chicken,0.65,ITEM5030,Dairy,Paul's,CUST8830,Credit Card,Brisbane,Male
11.73,10.87,15/3/2025,COL-601-117-20250315-5079,2,Coles,21.74,Chips,0.86,ITEM7414,Snacks,Smith's,CUST1101,Credit Card,Hobart,Male
13.53,13.48,17/3/2025,COL-601-117-20250317-5005,3,Coles,40.44,Ice Cream,0.05,ITEM2421,Produce,Aussie Greens,CUST9570,EFTPOS,Darwin,Female
15.51,14.11,22/3/2025,COL-601-117-20250322-5019,3,Coles,42.33,Soft Drinks,1.4,ITEM7186,Snacks,Pringles,CUST8982,EFTPOS,Melbourne,Female
16.26,12.53,21/3/2025,COL-601-117-20250321-5040,2,Coles,25.06,Veggies,3.73,ITEM4154,Dairy,Bulla,CUST2288,EFTPOS,Sydney,Female
8.32,6.74,29/3/2025,COL-601-117-20250329-5099,1,Coles,6.74,Milk,1.58,ITEM5999,Dairy,Paul's,CUST5524,Credit Card,Sydney,Female
4.93,3.62,3/3/2025,COL-601-117-20250303-5023,5,Coles,18.1,Soft Drinks,1.31,ITEM3455,Beverages,Schweppes,CUST2898,Credit Card,Brisbane,Female
4.77,3.52,31/3/2025,COL-601-117-20250331-5028,3,Coles,10.56,Chips,1.25,ITEM7391,Produce,Fresh Farms,CUST3700,Cash,Hobart,Female
2.76,2.72,17/3/2025,COL-601-117-20250317-5036,1,Coles,2.72,Bread,0.04,ITEM3176,Snacks,Pringles,CUST4805,EFTPOS,Sydney,Female
16.39,12.74,15/3/2025,COL-601-117-20250315-5003,4,Coles,50.96,Chicken,3.65,ITEM9409,Bakery,Tip Top,CUST3378,EFTPOS,Darwin,Male
7.44,5.89,11/3/2025,COL-601-117-20250311-5093,2,Coles,11.78,Sauces,1.55,ITEM5749,Beverages,Schweppes,CUST1142,Credit Card,Hobart,Male
7.61,7.4,17/3/2025,COL-601-117-20250317-5060,5,Coles,37.0,Chicken,0.21,ITEM2244,Snacks,Pringles,CUST3664,Credit Card,Canberra,Female
18.84,18.57,16/3/2025,COL-601-117-20250316-5085,5,Coles,92.85,Milk,0.27,ITEM4073,Beverages,Schweppes,CUST6621,Credit Card,Brisbane,Female
17.82,13.94,23/3/2025,COL-601-117-20250323-5024,3,Coles,41.82,Soft Drinks,3.88,ITEM4666,Pantry,Heinz,CUST9967,EFTPOS,Adelaide,Female
12.31,11.88,29/3/2025,COL-601-117-20250329-5074,4,Coles,47.52,Sauces,0.43,ITEM1751,Pantry,Uncle Tobys,CUST4492,EFTPOS,Brisbane,Male
3.08,2.83,8/3/2025,COL-601-117-20250308-5020,1,Coles,2.83,Soft Drinks,0.25,ITEM5446,Beverages,Pepsi,CUST7614,Credit Card,Hobart,Female
16.89,12.43,19/3/2025,COL-601-117-20250319-5069,1,Coles,12.43,Veggies,4.46,ITEM8424,Pantry,Heinz,CUST7731,Credit Card,Brisbane,Female
9.76,8.64,26/3/2025,COL-601-117-20250326-5096,5,Coles,43.2,Chips,1.12,ITEM6505,Meat,MeatMaster,CUST2298,Cash,Hobart,Male
18.99,14.45,7/3/2025,COL-601-117-20250307-5053,4,Coles,57.8,Veggies,4.54,ITEM5469,Pantry,Leggo's,CUST8568,EFTPOS,Brisbane,Female
8.42,6.25,30/3/2025,COL-601-117-20250330-5049,4,Coles,25.0,Soft Drinks,2.17,ITEM1044,Meat,Woolworths Brand,CUST4976,EFTPOS,Perth,Female
4.73,3.84,21/3/2025, COL-601-117-20250321-5043,5,Coles,19.2,Chips,0.89,ITEM8843,Beverages,Coca-Cola,CUST6797,Credit Card,Adelaide,Male
4.77,3.52,31/3/2025,COL-601-117-20250331-5028,3,Coles,10.56,Chips,1.25,ITEM7391,Produce,Fresh Farms,CUST3700,Cash,Hobart,Female
18.43,15.57,12/3/2025,COL-601-117-20250312-5038,5,Coles,77.85,Ice Cream,2.86,ITEM9306,Bakery,Tip Top,CUST2126,Credit Card,Hobart,Male
17.57,14.81,30/3/2025,COL-601-117-20250330-5098,5,Coles,74.05,Chips,2.76,ITEM3460,Produce,Fresh Farms,CUST5308,EFTPOS,Hobart,Female
19.17,16.35,22/3/2025,COL-601-117-20250322-5063,2,Coles,32.7,Chips,2.82,ITEM8012,Beverages,Schweppes,CUST4503,EFTPOS,Hobart,Male
10.66,8.09,31/3/2025,COL-601-117-20250331-5086,2,Coles,16.18,Ice Cream,2.57,ITEM4708,Bakery,Helga's,CUST1067,Cash,Sydney,Female
5.91,4.41,17/3/2025,COL-601-117-20250317-5088,3,Coles,13.23,Bread,1.5,ITEM9105,Bakery,Helga's,CUST5049,Credit Card,Canberra,Female
2.54,2.51,21/3/2025,COL-601-117-20250321-5026,2,Coles,5.02,Veggies,0.03,ITEM3792,Produce,Fresh Farms,CUST7067,EFTPOS,Hobart,Female
17.98,13.55,16/3/2025,COL-601-117-20250316-5080,3,Coles,40.65,Milk,4.43,ITEM3901,Bakery,Wonder White,CUST7149,Credit Card,Perth,Female
6.39,6.27,6/3/2025,COL-601-117-20250306-5066,3,Coles,18.81,Chips,0.12,ITEM2719,Frozen,Ingham,CUST1980,Credit Card,Adelaide,Female
10.66,8.09,31/3/2025,COL-601-117-20250331-5086,2,Coles,16.18,Ice Cream,2.57,ITEM4708,Bakery,Helga's,Cust5049,Credit Card,Canberra,Female
