Transaction ID,Customer ID,Gender,Category,Product,Brand,Item ID,Quantity,Unit Price,Discount,Best Price,Total Price,Store,Location,Payment Method,Date
6adcbdcd-2c81-4a77-afba-371fd809733c,dcdd5fb3-1089-4560-9ce8-a0e49699c97d,Male,Snacks,Chips,Smith’s,ITEM1033,1,6.27,0.15,5.39,5.39,Coles,Canberra,Cash,2025-02-17
dfda1a0c-95bb-4bc2-a2cb-69b59d1fe91f,aa7e2270-3ee1-4a9f-a718-7ef6c9196719,Male,Dairy,Yogurt,Chobani,ITEM1021,1,31.9,0.05,30.41,30.41,Coles,Perth,Debit Card,2025-01-17
2f7cd5d3-6184-4ecc-b730-ad2c7179e293,af97fa09-3fb5-4fc7-8ac0-1af5ea1istroc,Male,Fruit & Veg,Broccoli,Fresh Select,ITEM1003,3,4.53,0.25,3.4,10.2,Coles,Adelaide,Credit Card,2025-03-15
4d6964mlkc-bert-kms128gl-macbook-pro-15,lwjwhloa-4w27-bkma-4kb2-4kw5-2skf1003b9,Male,Snacks,Cookies,Arnott’s,ITEM1035,1,34.58,0.09,31.6,31.6,Coles,Perth,Debit Card,2025-03-24
ffaa8eff-f6d9-40bet-8c40-0bd1ec8e7333,b00785e6-dladaography-4.9c,Male,Pantry,Flour,White Wings,ITEM1011,3,10.99,0.11,9.78,29.34,Coles,Canberra,Cash,2025-01-08
b2efbc63-fbe7-4f1d-bf3e-965ids8cQrKJ,egdkt61x-aeb0-406d-bb40-3f8455cec8d4,Male,Pantry,Tomato Sauce,Heinz,ITEM1009,3,47.04,0.03,45.58,136.74,Coles,Hobart,Cash,2025-01-07
7ed79fd0-44d2-4c91-ac5e-3f1fu5801e0b,eed20072-230c-4a68-93d1-0380ac769c84,Female,Frozen Foods,Ice Cream,Peters,ITEM1027,1,20.46,0.15,17.37,17.37,Coles,Brisbane,Cash,2025-03-21
e81929a8-15c6-4aiq-887f-829do7lane7ed,93bba644-a03f-40c1-9f84-43237705b395,Female,Dairy,Milk,Devondale,ITEM1019,5,25.71,0.01,25.43,127.15,Coles,Brisbane,Credit Card,2025-01-26
43a270a7-ba3b-4630-95dc-03cb47261081,ae0b6e6e-3de3-4cf2-970f-464587fc759e,Male,Snacks,Chips,Smith’s,ITEM1033,4,41.84,0.29,29.38,117.52,Coles,Darwin,PayPal,2025-01-13
89313f7e-bf68-4e59-897c-f259f271db3e,12ac5672-6223-4787-8191-1eblnt855cs,Female,Pantry,Rice,SunRice,ITEM1007,1,47.53,0.15,40.7,40.7,Coles,Canberra,Credit Card,2025-01-23
9cec275b-20ef-46ca-afbd-d286dc09a9ea,edbb09p7-8b58-4d78-db41-27a86eb66a1f,Other,Dairy,Milk,Devondale,ITEM1019,2,17.86,0.26,13.32,26.64,Coles,Canberra,Debit Card,2025-01-05
fdc4bfcl-902e-41da-a865-e75utureworld,amazonsite16-0009-4e8f-ba4b-1h767c7abfbd,Other,Fruit & Veg,Onion,Happy Veg,ITEM1005,5,13.86,0.12,11.91,59.55,Coles,Darwin,Credit Card,2025-02-18
f70bc36e-ba48-4ndr-aa6a-947732caachi,7fa91b9b-cbc9-4jp0-8a99-e056482c8817,Other,Snacks,Chips,Smith’s,ITEM1033,1,8.97,0.27,6.75,6.75,Coles,Brisbane,PayPal,2025-01-16
d74e350c-fe19-48f6-b828-db5a69a04797,ae3bb0dd-eeee-4d42-8af2-5dummy.com,Female,Dairy,Cream,Bulla,ITEM1023,4,11.34,0.05,10.65,42.6,Coles,Perth,Debit Card,2025-03-27
fcdf5aa5-bf0a-4c7a-afcb-6428ea4c803e,8b82c3fb-5cfd-4817-ba31-990416bi554d,Other,Seafood,Salmon,Huon,ITEM1014,4,40.98,0.24,31.97,137.88,Coles,Adelaide,Credit Card,2025-02-17
783b1408-da1a-45be-ae2c-96d0df8720e4,f08dc85c-45e3-4db5-ba37-7ffa0choice.com,Other,Fruit & Veg,Onion,Happy Veg,ITEM1005,4,47.67,0.21,37.85,151.4,Coles,Darwin,Credit Card,2025-02-03
0d5ac35a-3edd-4a5d-bf35-24211f9bca46,eff40cea-9de5-4727-885C-DBE9B4132EA7,Female,Seafood,Tuna,John West,ITEM1016,5,21.19,0.3,15.39,76.95,Coles,Canberra,Credit Card,2025-03-22
5bb77fe8-866a-40sessionmorningsun.net,7a8a75e7-d392-450b-BD7C-3DF286C5CBD8,Female,Seafood,Barramundi,Cone Bay,ITEM1018,5,20.64,0.3,15.39,76.95,Coles,Darwin,PayPal,2025-03-12
68033af8-3bil-426e-89c8-1fconst3bl3ja,3d5e522b-1456-4267-84dumpfirework-<|system|>,Male,Frozen Foods,Frozen Chips,Birds Eye,ITEM1025,4,25.97,0.17,21.33,85.32,Coles,Perth,Debit Card,2025-02-14
