unit price,best price ,date,transaction ID,quantity,store name,total,item name,discount,product code,category,customer ID,payment types,gender,location
11.91,10.96,11/4/2025,COL-3126225,5,Coles,54.8,The Bare Bird Chicken Drumsticks | 460g,0.95,7382494,Meat & Seafood,COL-C9E41C14DC,Credit card,Female,Sydney
22.68,16.86,29/4/2025,COL-8356787,1,Coles,16.86,Coles Deli Thawed Australian MSC Raw Banana Prawns | approx 250g,5.82,8836819,Meat & Seafood,COL-943491F181,Credit card,Female,Perth
11.26,9.94,22/4/2025,COL-7246316,2,Coles,19.88,Coles Boneless Pork Shoulder Roast | approx 2.6kg,1.32,9413891,Meat & Seafood,COL-8A6E91FCD9,Credit card,Female,Hobart
30.42,25.87,18/4/2025,COL-3809570,4,Coles,103.48,Coles Deli Thawed Australian Cooked Black Tiger Prawns Large | approx 250g,4.55,9672963,Meat & Seafood,COL-5F58CE11B0,Credit card,Male,Melbourne
11.93,10,4/4/2025,COL-2719176,3,Coles,30,Coles Free Range Pork Leg Roast Boneless | approx 1.8kg,1.93,2741880,Meat & Seafood,COL-376ADD4EA6,Credit card,Male,Canberra
23.09,16.95,4/4/2025,COL-D133326,5,Coles,84.75,The Bare Bird Chicken Thigh Fillets | 480g,6.14,7382541,Meat & Seafood,COL-4FE4F0213B,Credit card,Female,Sydney
23.37,23.37,2/4/2025,COL-0198246,9,Coles,210.33,Coles Deli Thawed Raw Black Tiger Prawns | approx 250g,0,3954684,Meat & Seafood,COL-C9B2347DC3,Credit card,Female,Canberra
20.01,14.4,26/4/2025,COL-6343962,1,Coles,14.4,Coles Deli Thawed Australian MSC Raw Banana Prawns | approx 250g,5.61,8836823,Meat & Seafood,COL-4460F95E70,EFTPOS,Female,Melbourne
9.87,7.46,18/4/2025,COL-0688508,5,Coles,37.3,Coles Lamb Leg Roast Half | approx 1.74kg,2.41,9246075,Meat & Seafood,COL-A6C39D17F5,EFTPOS,Male,Adelaide
0.33,0.1,21/4/2025,COL-6850800,2,Coles,0.2,Green's Gravy Granules for Roast Meat | 120g,0.33,7302782,Meat & Seafood,COL-651ABB0241,Credit card,Female,Perth
12.79,12,1/4/2025,COL-D331148,3,Coles,36,Coles Free Range Pork Leg Roast Boneless | approx 1.8kg,0.79,2741878,Meat & Seafood,COL-518E54D8F5,Cash,Female,Brisbane
9.45,6.98,29/4/2025,COL-E717889,1,Coles,6.98,The Bare Bird Chicken Drumsticks | 460g,2.47,7382497,Meat & Seafood,COL-1336B08F9E,EFTPOS,Male,Perth
31.12,30.14,25/4/2025,COL-8948749,1,Coles,30.14,Coles Deli Thawed Australian Cooked Black Tiger Prawns Large | approx 250g,0.98,9672961,Meat & Seafood,COL-56C51A1572,Gift card,Male,Melbourne
7.34,5.68,6/4/2025,COL-0895667,2,Coles,11.36,Coles Boneless Pork Leg Roast | approx 2.1kg,1.66,4174798,Meat & Seafood,COL-05B42191AA,Cash,Female,Sydney
16.07,13.8,5/4/2025,COL-5832052,2,Coles,27.6,Coles RSPCA Approved Chicken Breast Schnitzel Plain Crumb | 600g,2.27,5969872,Meat & Seafood,COL-299844C385,Credit card,Female,Canberra
7.16,5.68,5/4/2025,COL-D456778,7,Coles,39.76,Coles Boneless Pork Leg Roast | approx 2.1kg,1.48,4174803,Meat & Seafood,COL-BE99425012,EFTPOS,Male,Melbourne
16.05,13.98,8/4/2025,COL-8263032,5,Coles,69.9,Coles Finest Mixed Selection Sausage Pack | 500g,2.07,5928539,Meat & Seafood,COL-B1400EAB6F,EFTPOS,Female,Brisbane
17.41,16.8,15/4/2025,COL-6900581,9,Coles,151.2,Coles Deli Thawed Australian MSC Raw Banana Prawns | approx 250g,0.61,8836817,Meat & Seafood,COL-88698B22C1,EFTPOS,Male,Canberra
26.75,24.72,12/4/2025,COL-A207175,4,Coles,98.88,The Bare Bird Chicken Tenderloins | 480g,2.03,7382535,Meat & Seafood,COL-A7AFFE44A1,Credit card,Female,Brisbane
30.64,24.57,8/4/2025,COL-2498382,2,Coles,49.14,The Bare Bird Chicken Tenderloins | 480g,6.07,7382529,Meat & Seafood,COL-E5CB80138E,Gift card,Male,Adelaide
22.23,19.22,18/4/2025,COL-3476417,2,Coles,38.44,The Bare Bird Chicken Breast Fillet | 600g,3.01,7362271,Meat & Seafood,COL-35D82F48EF,Credit card,Male,Canberra
16.61,15.3,4/4/2025,COL-B733052,2,Coles,30.6,Coles RSPCA Approved Chicken Breast Schnitzel Plain Crumb | 600g,1.31,5969867,Meat & Seafood,COL-B2BB426DAF,Cash,Female,Adelaide
22.57,18.09,8/4/2025,COL-8946335,2,Coles,36.18,Coles Deli Thawed Raw Black Tiger Prawns | approx 250g,4.48,3954680,Meat & Seafood,COL-2F5EFE2870,Gift card,Male,Sydney
30.35,22.47,10/4/2025,COL-1865179,4,Coles,89.88,Cleaver's Organic Grass-Fed Premium Beef Mince | 500g,7.88,9224265,Meat & Seafood,COL-7642E3FEAC,EFTPOS,Male,Canberra
20.28,14.77,13/4/2025,COL-E662275,3,Coles,44.31,Coles Pork Belly Roast Boneless | approx 1.3kg,5.51,2839587,Meat & Seafood,COL-7BEBE4FBE7,Credit card,Female,Perth
31,22.04,24/4/2025,COL-3496922,2,Coles,44.08,The Bare Bird Chicken Tenderloins | 480g,8.96,7382534,Meat & Seafood,COL-D175CD0330,EFTPOS,Female,Sydney
0.33,0.1,5/4/2025,COL-2678856,1,Coles,0.1,Green's Gravy Granules for Roast Meat | 120g,0.41,7302787,Meat & Seafood,COL-CD0AC9DF2C,Credit card,Female,Adelaide
22.93,16.09,15/4/2025,COL-9969693,1,Coles,16.09,Coles Deli Thawed Raw Black Tiger Prawns | approx 250g,6.84,3954678,Meat & Seafood,COL-C24641BA8A,Credit card,Male,Adelaide
12.25,11.64,18/4/2025,COL-B705397,2,Coles,23.28,Coles Free Range Pork Leg Roast Boneless | approx 1.8kg,0.61,2741875,Meat & Seafood,COL-97DCFB38B3,Gift card,Male,Sydney
15.48,11.88,2/4/2025,COL-6838797,1,Coles,11.88,Coles Finest Carbon Neutral Pork Leg Roast | approx 1kg,3.6,6409080,Meat & Seafood,COL-AC2E9EAFAC,EFTPOS,Female,Adelaide
35.75,30.37,18/4/2025,COL-2148050,5,Coles,151.85,Coles Deli Thawed Australian Cooked Black Tiger Prawns Large | approx 250g,5.38,9672961,Meat & Seafood,COL-7A87FE4A3E,EFTPOS,Male,Brisbane
16.42,12.47,5/4/2025,COL-7910620,1,Coles,12.47,Coles RSPCA Approved Chicken Breast Schnitzel Plain Crumb | 600g,3.95,5969868,Meat & Seafood,COL-7A1953DBA9,Gift card,Male,Brisbane
30.03,28.8,2/4/2025,COL-9183667,5,Coles,144,Coles Deli Thawed Australian Cooked Black Tiger Prawns Extra Large | approx 250g,1.23,2686693,Meat & Seafood,COL-AA547007DA,Credit card,Male,Brisbane
19.54,15.52,29/4/2025,COL-7205907,2,Coles,31.04,Coles RSPCA Approved Chicken Breast Schnitzel Plain Crumb | 600g,4.02,5969869,Meat & Seafood,COL-75B8C4499E,EFTPOS,Female,Sydney
6.03,5.52,29/4/2025,COL-C391476,1,Coles,5.52,Coles Boneless Pork Leg Roast | approx 2.1kg,0.51,4174799,Meat & Seafood,COL-3566F21805,EFTPOS,Female,Canberra
8.76,6.51,25/4/2025,COL-E766563,6,Coles,39.06,Coles Boneless Pork Shoulder Roast | approx 2.6kg,2.25,9413891,Meat & Seafood,COL-91C445B255,EFTPOS,Female,Adelaide
19.89,17.56,8/4/2025,COL-B270555,4,Coles,70.24,Coles Deli Thawed Australian MSC Raw Banana Prawns | approx 250g,2.33,8836820,Meat & Seafood,COL-1DDBB9516A,Gift card,Female,Perth
12.02,9.95,3/4/2025,COL-B472528,2,Coles,19.9,Coles Free Range Pork Leg Roast Boneless | approx 1.8kg,2.07,2741876,Meat & Seafood,COL-5EBE06413D,Cash,Male,Melbourne
22.75,18.35,20/4/2025,COL-6802729,7,Coles,128.45,Coles Deli Thawed Raw Black Tiger Prawns | approx 250g,4.4,3954678,Meat & Seafood,COL-E3CB0DB477,EFTPOS,Female,Brisbane
28.93,21.41,13/4/2025,COL-8835911,1,Coles,21.41,Coles Deli Thawed Australian Cooked Black Tiger Prawns Extra Large | approx 250g,7.52,2686698,Meat & Seafood,COL-E232D78CDF,EFTPOS,Female,Darwin
32.29,31.62,3/4/2025,COL-2738720,2,Coles,63.24,Cleaver's Organic Grass-Fed Extra Lean Beef Mince | 500g,0.67,9223338,Meat & Seafood,COL-F3FA3D187E,EFTPOS,Male,Perth
27,22.9,14/4/2025,COL-5660086,5,Coles,114.5,Coles Deli Thawed Australian Cooked Black Tiger Prawns Extra Large | approx 250g,4.1,2686698,Meat & Seafood,COL-DDA93F47AB,Store card,Female,Darwin
16.76,13.02,1/4/2025,COL-7271339,5,Coles,65.1,Coles Finest Mixed Selection Sausage Pack | 500g,3.74,5928530,Meat & Seafood,COL-EF1E7593DE,Store card,Female,Sydney
30.66,29.73,27/4/2025,COL-E497887,2,Coles,59.46,Cleaver's Organic Grass-Fed Premium Beef Mince | 500g,0.93,9224263,Meat & Seafood,COL-319F3FEF82,Credit card,Male,Brisbane
