item_id,item_name,brand,category,best_price,unit_price,total_price,discount,quantity,unit_type,date,sub_category,transaction_id
984848,Sabco Kitchen Sponge Cloth,McKenzie's,Cleaning & Maintenance,9.65,5.3,8.6,18.83,2,L,2025-04-03,Surface Cleaners,02d458c0-5d78-42c8-b0f7-fdd729f5e3fe
303397,Sabco Kitchen Sponge Cloth,Mainland,Cleaning & Maintenance,9.83,8.58,15.15,11.7,2,Kg,2025-03-29,Surface Cleaners,290e52b1-f7a4-40cc-b028-f11cc571755b
221019,Mainland Sweet Cinnamon Spreadable,Sabco,"Dairy, Eggs & Fridge",6.98,11.66,16.53,29.13,2,L,2025-01-23,Condiments,a7099dd7-cea9-4ad0-a705-fb88796e3ff7
583509,Chobani Yogurt,Sabco,"Dairy, Eggs & Fridge",4.5,5.14,8.84,13.99,2,each,2025-01-15,Beverages,25b9be93-0953-47dd-ac1b-f8bdbd366043
414078,Black & Gold Creamed Corn,McKenzie's,Snacks & Confectionery,5.05,6.13,5.68,7.34,1,Kg,2025-04-01,Snacks,839d49ba-3c5a-4edf-84d7-382b7c3f547e
687688,Maggi Mexican Nachos Recipe Base,Old El Paso,Pantry,2.03,13.97,16.03,42.63,2,L,2025-01-15,Beverages,c20d7676-9a58-4b1e-a47d-cf0797e21f4d
861778,Sabco Kitchen Sponge Cloth,McKenzie's,Cleaning & Maintenance,2.63,6.48,13.19,32.16,3,each,2025-03-12,Surface Cleaners,1fb141e0-1073-4bbd-ae19-c317438b0fa5
589154,Continental Cup A Soup,Mainland,Pantry,2.76,6.09,21.66,11.08,4,L,2025-01-12,Condiments,d5d5acc9-26ad-4dd6-929a-d34532833077
753799,Old El Paso Mexican Burrito Tortillas,Mainland,Pantry,2.66,10.05,25.35,36.95,4,L,2025-02-19,Condiments,790108c3-5244-4eda-bc0c-e3efd14e717c
866734,Chobani Yogurt,Wonka,"Dairy, Eggs & Fridge",4.62,3.17,2.28,28.0,1,each,2025-03-25,Condiments,ce2d25c9-9b7b-42b3-bcc6-68050556a364
494509,Surface Cleaners,Wonka,Cleaning & Maintenance,7.4,9.61,10.36,46.09,2,each,2025-02-20,Surface Cleaners,265041dd-ad78-4c5f-91d0-b5db5c7f7f7b
560178,Wonka Runts Fruit Candy,Mainland,Snacks & Confectionery,5.18,4.24,2.54,40.16,1,Kg,2025-03-24,Snacks,f4e172be-dfd4-41cc-bd76-2e22f56162a8
326071,Devondale Long Life Milk,Continental,"Dairy, Eggs & Fridge",6.78,2.85,9.06,36.42,5,Kg,2025-02-04,Condiments,1cdc4ee0-976c-4160-9473-2d442430bace
899714,Maggi Mexican Nachos Recipe Base,Continental,Pantry,7.77,12.23,31.96,47.74,5,Kg,2025-01-20,Beverages,4ace7fa9-89d6-440f-8a88-1bbc485b136a
945867,Lindt Excellence Chocolate,Lindt,Snacks & Confectionery,6.33,4.29,4.24,1.2,1,L,2025-02-04,Snacks,76a95099-acff-45bb-9765-b692ab8100bc
890022,Lindt Excellence Chocolate,Lindt,Snacks & Confectionery,7.29,13.24,23.18,12.46,2,each,2025-03-12,Snacks,11921346-67c7-4567-99b7-76a003bceb66
389337,Mainland Sweet Cinnamon Spreadable,Old El Paso,"Dairy, Eggs & Fridge",3.44,12.19,42.96,29.51,5,Kg,2025-03-23,Condiments,fc984ff1-79ea-4920-8122-ff4b98d0c161
446250,Old El Paso Mexican Burrito Tortillas,Uncle Toby,Pantry,7.33,6.72,7.44,44.66,2,L,2025-03-20,Beverages,d37abf31-cdec-4333-ab56-cf7f1e1635ab
186110,Old El Paso Mexican Burrito Tortillas,Wonka,Pantry,5.27,13.08,26.34,49.66,4,L,2025-03-17,Condiments,bde91637-6fd8-4973-8b7b-1d33dea5bdd5
839768,Old El Paso Mexican Burrito Tortillas,Old El Paso,Pantry,3.13,7.84,27.64,11.85,4,L,2025-01-26,Beverages,bf1c359b-c62c-4adb-86ea-e32199883f2f
142977,Sabco Kitchen Sponge Cloth,Old El Paso,Cleaning & Maintenance,4.64,14.28,55.91,21.7,5,Kg,2025-01-27,Surface Cleaners,edfa87d6-b2b5-47d2-bcf7-405c5b19a158
242154,Surface Cleaners,Sabco,Cleaning & Maintenance,9.81,12.21,25.88,29.35,3,each,2025-03-20,Surface Cleaners,8c1f1f68-067a-4b80-91fa-0a6bfc54d902
604272,Black & Gold Creamed Corn,McKenzie's,Snacks & Confectionery,2.63,5.23,3.28,37.33,1,each,2025-01-15,Snacks,fa6fb0dd-1d84-47b9-89c0-ad043570f0c8
865003,Chobani Yogurt,Old El Paso,"Dairy, Eggs & Fridge",7.44,10.46,29.92,4.65,3,each,2025-01-29,Condiments,7f3e0557-a404-4ee3-bde0-e5eeb7ffe5ef
859515,Black & Gold Creamed Corn,Mainland,Snacks & Confectionery,1.61,3.13,13.93,10.99,5,L,2025-01-15,Snacks,2c499ad8-209d-4148-9bc0-ee30d797cf43
939237,Old El Paso Mexican Burrito Tortillas,Old El Paso,Pantry,9.49,11.59,21.43,7.57,2,L,2025-03-05,Beverages,761843a9-8686-431d-86d8-0aa2b7a98204
820880,Wonka Runts Fruit Candy,Old El Paso,Snacks & Confectionery,1.7,12.28,41.55,15.41,4,Kg,2025-01-01,Snacks,e7b51e01-7093-4e13-bbb3-0b1e7be1abb9
463735,Mainland Sweet Cinnamon Spreadable,Continental,"Dairy, Eggs & Fridge",8.02,12.5,19.82,20.71,2,each,2025-03-09,Condiments,11f99698-056a-4a73-a51c-8583c118a1a9
567701,Mainland Sweet Cinnamon Spreadable,Mainland,"Dairy, Eggs & Fridge",3.62,6.94,15.43,44.41,4,Kg,2025-03-28,Beverages,8d4b5d00-b814-4f05-a718-5a1380ef2d2b
610020,Old El Paso Mexican Burrito Tortillas,Sabco,Pantry,4.91,13.44,9.85,26.72,1,Kg,2025-01-23,Condiments,2588e5f1-0c41-4165-b3d5-7fc575551ad4
904284,Chobani Yogurt,Continental,"Dairy, Eggs & Fridge",0.84,8.62,8.28,3.94,1,Kg,2025-01-22,Condiments,f7524a67-1ff7-4705-99a1-345a584440ca
502824,Continental Cup A Soup,Mainland,Pantry,3.63,3.56,9.07,15.1,3,each,2025-03-04,Condiments,ce004a20-f06b-40a5-96f9-607e69afbcdf
625804,Continental Cup A Soup,Wonka,Pantry,0.95,12.41,55.05,11.28,5,Kg,2025-01-11,Snacks,bdc56254-ef8f-47f7-846a-23f7ba316a45
161748,Wonka Runts Fruit Candy,Continental,Snacks & Confectionery,5.73,3.83,11.62,24.16,4,Kg,2025-03-09,Snacks,a63c04c0-dfac-4b88-9f6b-de47b59c23f6
