unit price ,best price ,date,transaction ID,quantity,store name,total,subcategory,discount,item ID,category,brand,customer ID,payment types,gender,location
10.08,9.21,11/4/2025,WOOL-3126225,5,Woolworths,46.05,Strawberries,10.08,144609,Fruit & Veg,Strawberries,WOOL-C9E41C14DC,Credit card,Female,Melbourne
10.77,7.97,29/4/2025,WOOL-8356787,1,Woolworths,7.97,Light Globes,10.77,197774,Cleaning & Maintenance,Mirabella,WOOL-943491F181,Credit card,Female,Perth
13.14,11.66,22/4/2025,WOOL-7246316,2,Woolworths,23.32,Insect Repellent,13.14,900331,Cleaning & Maintenance,Aerogard,WOOL-8A6E91FCD9,Credit card,Female,Darwin
0.55,0.21,18/4/2025,WOOL-3809570,4,Metro,0.84,Laundry Capsules,0.55,898835,Cleaning & Maintenance,Mnml,WOOL-5F58CE11B0,Credit card,Male,Adelaide
8.44,6.99,4/4/2025,WOOL-2719176,3,Metro,20.97,Strawberries,8.44,144617,Fruit & Veg,Strawberries,WOOL-376ADD4EA6,Credit card,Male,Brisbane
0.69,0.45,4/4/2025,WOOL-D133326,5,Woolworths,2.25,Potatoes,0.69,208899,Fruit & Veg,Potato,WOOL-4FE4F0213B,Credit card,Female,Brisbane
1.16,0.74,2/4/2025,WOOL-0198246,9,Metro,6.66,Broccoli,1.16,134690,Fruit & Veg,Fresh,WOOL-C9B2347DC3,Credit card,Female,Perth
0.73,0.46,26/4/2025,WOOL-6343962,1,Woolworths,0.46,Tomatoes,0.73,134036,Fruit & Veg,Fresh,WOOL-4460F95E70,EFTPOS,Female,Sydney
0.88,0.88,18/4/2025,WOOL-0688508,5,Metro,4.4,Potatoes,0.88,208905,Fruit & Veg,Potato,WOOL-A6C39D17F5,EFTPOS,Male,Brisbane
2.27,1.69,21/4/2025,WOOL-6850800,2,Woolworths,3.38,Avocado,2.27,120090,Fruit & Veg,Hass,WOOL-651ABB0241,Credit card,Female,Brisbane
0.58,0.11,1/4/2025,WOOL-D331148,3,Metro,0.33,Onion,0.58,144339,Fruit & Veg,Onion,WOOL-518E54D8F5,Cash,Female,Melbourne
0.37,0.2,29/4/2025,WOOL-E717889,1,Woolworths,0.2,Mandarin,0.37,829112,Fruit & Veg,Mandarin,WOOL-1336B08F9E,EFTPOS,Male,Darwin
1.25,0.76,25/4/2025,WOOL-8948749,1,Woolworths,0.76,Broccoli,1.25,134688,Fruit & Veg,Fresh,WOOL-56C51A1572,Gift card,Male,Canberra
9.65,7.51,6/4/2025,WOOL-0895667,2,Woolworths,15.02,Strawberries,9.65,144612,Fruit & Veg,Strawberries,WOOL-05B42191AA,Cash,Female,Darwin
10.72,9.1,5/4/2025,WOOL-5832052,2,Woolworths,18.2,Insect Repellent,10.72,900327,Cleaning & Maintenance,Aerogard,WOOL-299844C385,Credit card,Female,Perth
17.07,13.81,5/4/2025,WOOL-D456778,7,Metro,96.67,Padlocks,17.07,747024,Cleaning & Maintenance,Master,WOOL-BE99425012,EFTPOS,Male,Sydney
2.21,1.65,8/4/2025,WOOL-8263032,5,Woolworths,8.25,Avocado,2.21,120085,Fruit & Veg,Hass,WOOL-B1400EAB6F,EFTPOS,Female,Brisbane
8.27,7.73,15/4/2025,WOOL-6900581,9,Woolworths,69.57,Light Globes,8.27,197774,Cleaning & Maintenance,Mirabella,WOOL-88698B22C1,EFTPOS,Male,Sydney
2.11,2.11,12/4/2025,WOOL-A207175,4,Woolworths,8.44,Cucumber,2.11,137140,Fruit & Veg,Lebanese,WOOL-A7AFFE44A1,Credit card,Female,Canberra
10.63,7.61,8/4/2025,WOOL-2498382,2,Metro,15.22,Insect Repellent,10.63,900329,Cleaning & Maintenance,Aerogard,WOOL-E5CB80138E,Gift card,Male,Perth
9.59,7.7,18/4/2025,WOOL-3476417,2,Woolworths,15.4,Strawberries,9.59,144614,Fruit & Veg,Strawberries,WOOL-35D82F48EF,Credit card,Male,Adelaide
8.94,7.72,4/4/2025,WOOL-B733052,2,Metro,15.44,Strawberries,8.94,144608,Fruit & Veg,Strawberries,WOOL-B2BB426DAF,Cash,Female,Melbourne
0.78,0.3,8/4/2025,WOOL-8946335,2,Metro,0.6,Apples,0.78,105920,Fruit & Veg,Fresh,WOOL-2F5EFE2870,Gift card,Male,Brisbane
2.23,1.6,10/4/2025,WOOL-1865179,4,Metro,6.4,Cucumber,2.23,137132,Fruit & Veg,Lebanese,WOOL-7642E3FEAC,EFTPOS,Male,Melbourne
0.9,0.57,13/4/2025,WOOL-E662275,3,Woolworths,1.71,Potatoes,0.9,208901,Fruit & Veg,Potato,WOOL-7BEBE4FBE7,Credit card,Female,Melbourne
0.91,0.63,24/4/2025,WOOL-3496922,2,Metro,1.26,Bananas,0.91,133221,Fruit & Veg,Cavendish,WOOL-D175CD0330,EFTPOS,Female,Brisbane
1.47,1,5/4/2025,WOOL-2678856,1,Woolworths,1,Broccoli,1.47,134689,Fruit & Veg,Fresh,WOOL-CD0AC9DF2C,Credit card,Female,Hobart
15.32,14.38,15/4/2025,WOOL-9969693,1,Woolworths,14.38,Padlocks,15.32,747026,Cleaning & Maintenance,Master,WOOL-C24641BA8A,Credit card,Male,Darwin
13.4,11.81,18/4/2025,WOOL-B705397,2,Metro,23.62,Insect Repellent,13.4,900331,Cleaning & Maintenance,Aerogard,WOOL-97DCFB38B3,Gift card,Male,Canberra
0.5,0.14,2/4/2025,WOOL-6838797,1,Metro,0.14,Laundry Capsules,0.5,898841,Cleaning & Maintenance,Mnml,WOOL-AC2E9EAFAC,EFTPOS,Female,Perth
2.36,1.67,18/4/2025,WOOL-2148050,5,Metro,8.35,Avocado,2.36,120081,Fruit & Veg,Hass,WOOL-7A87FE4A3E,EFTPOS,Male,Melbourne
0.8,0.38,5/4/2025,WOOL-7910620,1,Metro,0.38,Bananas,0.8,133216,Fruit & Veg,Cavendish,WOOL-7A1953DBA9,Gift card,Male,Sydney
2.38,1.77,2/4/2025,WOOL-9183667,5,Metro,8.85,Avocado,2.38,120086,Fruit & Veg,Hass,WOOL-AA547007DA,Credit card,Male,Brisbane
8.32,6.05,29/4/2025,WOOL-7205907,2,Woolworths,12.1,Light Globes,8.32,197768,Cleaning & Maintenance,Mirabella,WOOL-75B8C4499E,EFTPOS,Female,Adelaide
17.48,16.81,29/4/2025,WOOL-C391476,1,Metro,16.81,Padlocks,17.48,747026,Cleaning & Maintenance,Master,WOOL-3566F21805,EFTPOS,Female,Perth
0.69,0.22,25/4/2025,WOOL-E766563,6,Metro,1.32,Bananas,0.69,133211,Fruit & Veg,Cavendish,WOOL-91C445B255,EFTPOS,Female,Canberra
2.41,2.41,8/4/2025,WOOL-B270555,4,Metro,9.64,Avocado,2.41,120089,Fruit & Veg,Hass,WOOL-1DDBB9516A,Gift card,Female,Adelaide
11.6,10.1,3/4/2025,WOOL-B472528,2,Metro,20.2,Insect Repellent,11.6,900331,Cleaning & Maintenance,Aerogard,WOOL-5EBE06413D,Cash,Male,Adelaide
1.19,0.76,20/4/2025,WOOL-6802729,7,Metro,5.32,Broccoli,1.19,134691,Fruit & Veg,Fresh,WOOL-E3CB0DB477,EFTPOS,Female,Melbourne
0.51,0.22,13/4/2025,WOOL-8835911,1,Woolworths,0.22,Laundry Capsules,0.51,898837,Cleaning & Maintenance,Mnml,WOOL-E232D78CDF,EFTPOS,Female,Brisbane
0.57,0.35,3/4/2025,WOOL-2738720,2,Woolworths,0.7,Onion,0.57,144334,Fruit & Veg,Onion,WOOL-F3FA3D187E,EFTPOS,Male,Brisbane
0.87,0.37,14/4/2025,WOOL-5660086,5,Woolworths,1.85,Potatoes,0.87,208899,Fruit & Veg,Potato,WOOL-DDA93F47AB,Store card,Female,Adelaide
1.98,1.44,1/4/2025,WOOL-7271339,5,Metro,7.2,Avocado,1.98,120085,Fruit & Veg,Hass,WOOL-EF1E7593DE,Store card,Female,Adelaide
0.68,0.39,27/4/2025,WOOL-E497887,2,Woolworths,0.78,Tomatoes,0.68,134040,Fruit & Veg,Fresh,WOOL-319F3FEF82,Credit card,Male,Darwin
