Cart ID,Transaction ID,Customer ID,Gender,Location,Payment type,Item ID,Brand Name,Brand Size,Category,Subcategory,Unit Price,Best Price,Discount,Quantity,Total Item Price,Quality Score
1,7A4600F7, CUS1405,Male,NSW,Cash,ITM45168,Arnott's,200 g,Snacks,Biscuits,10.73,8.15,0.24,2,16.3,5
1,7A4600F7, CUS1405,Male,NSW,Cash,ITM49209,Red Bull,1500 mL,Beverages,Energy Drinks,18.12,16.85,0.07,2,33.7,5
1,7A4600F7, CUS1405,Male,NSW,Cash,ITM37711,Tilda,1000 g,Pantry,Rice,2.3,2.25,0.02,5,11.25,5
1,7A4600F7, CUS1405,Male,NSW,Cash,ITM73444,Arnott's,200 g,Snacks,Biscuits,6.75,5.54,0.18,1,5.54,5
2,B45A06D6,CUS1264,Female,NSW,Debit Card,ITM82173,Red Bull,1500 mL,Beverages,Energy Drinks,8.27,7.61,0.08,4,30.44,5
2,B45A06D6,CUS1264,Female,NSW,Debit Card,ITM82173,V,1500 mL,Beverages,Energy Drinks,8.27,7.61,0.08,4,30.44,5
2,B45A06D6,CUS1264,Female,NSW,Debit Card,ITM61269,V,2000 mL,Beverages,Energy Drinks,22.44,21.54,0.04,5,107.7,4
2,B45A06D6,CUS1264,Female,NSW,Debit Card,ITM32607,SPC,750 g,Pantry,Canned Food,7.09,5.81,0.18,5,29.05,5
2,B45A06D6,CUS1264,Female,NSW,Debit Card,ITM76397,San Remo,500 g,Pantry,Pasta,10.42,9.69,0.07,1,9.69,5
3,43BC82CC,CUS4311,Female,VIC,Credit Card,ITM76397,San Remo,500 g,Pantry,Pasta,10.42,9.69,0.07,1,9.69,5
3,43BC82CC,CUS4311,Female,VIC,Credit Card,ITM28063,Australian Fresh,1500 g,Produce,Vegetables,23.96,17.73,0.26,1,17.73,2
3,43BC82CC,CUS4311,Female,VIC,Credit Card,ITM50710,Yoplait,500 mL,Dairy,Yogurt,23.48,18.55,0.21,5,92.75,3
3,43BC82CC,CUS4311,Female,VIC,Credit Card,ITM35008,V,250 mL,Beverages,Energy Drinks,15.96,13.09,0.18,1,13.09,5
4,FDFD1604,CUS3819,Male,VIC,Credit Card,ITM99787,Coles Brand,500 g,Meat,Pork,11.61,11.38,0.02,2,22.76,5
4,FDFD1604,CUS3819,Male,VIC,Credit Card,ITM37711,Sunrice,1000 g,Pantry,Rice,2.3,2.25,0.02,5,11.25,5
4,FDFD1604,CUS3819,Male,VIC,Credit Card,ITM90145,Berri,250 mL,Beverages,Juice,14.17,10.91,0.23,1,10.91,5
5,BF9C6A34,CUS6241,Female,VIC,Credit Card,ITM74950,Lilydale,1500 g,Meat,Chicken,20.08,15.86,0.21,2,31.72,5
5,BF9C6A34,CUS6241,Female,VIC,Credit Card,ITM55806,Smith's,150 g,Snacks,Chips,18.78,14.65,0.22,3,43.95,4
5,BF9C6A34,CUS6241,Female,VIC,Credit Card,ITM49902,Coles Brand,750 g,Meat,Pork,6.32,6.0,0.05,1,6.0,5
6,5AF8C520,CUS3151,Male,NSW,Credit Card,ITM49021,Coles Bakery,1 pack,Bakery,Cake,5.34,4.54,0.15,5,22.7,5
6,5AF8C520,CUS3151,Male,NSW,Credit Card,ITM91313,Cadbury,200 g,Snacks,Chocolate,7.25,7.18,0.01,4,28.72,5
6,5AF8C520,CUS3151,Male,NSW,Credit Card,ITM76900,Tilda,750 g,Pantry,Rice,3.77,3.73,0.01,1,3.73,5
7,54B23516,CUS3819,Male,SA,Credit Card,ITM12153,Barilla,250 g,Pantry,Pasta,9.22,7.56,0.18,4,30.24,5
7,54B23516,CUS3819,Male,SA,Credit Card,ITM91476,San Remo,1000 g,Pantry,Pasta,14.83,12.31,0.17,4,49.24,5
7,54B23516,CUS3819,Male,SA,Credit Card,ITM90456,Coles Brand,1500 g,Produce,Vegetables,6.61,6.54,0.01,4,26.16,5
7,54B23516,CUS3819,Male,SA,Credit Card,ITM50876,Lilydale,250 g,Meat,Chicken,22.79,16.41,0.28,1,16.41,4
8,C55B4FD1,CUS1364,Male,SA,Credit Card,ITM98744,Red Rock Deli,250 g,Snacks,Chips,15.57,11.37,0.27,2,22.74,5
8,C55B4FD1,CUS1364,Male,SA,Credit Card,ITM79306,Abbott's Village,6 pack,Bakery,Bread,7.8,6.01,0.23,1,6.01,5
8,C55B4FD1,CUS1364,Male,SA,Credit Card,ITM23586,Yoplait,2000 mL,Dairy,Yogurt,19.96,15.97,0.2,1,15.97,4
8,C55B4FD1,CUS1364,Male,SA,Credit Card,ITM10665,Coca-Cola,2000 mL,Beverages,Soft Drinks,17.24,15.34,0.11,1,15.34,5
8,C55B4FD1,CUS1364,Male,SA,Credit Card,ITM32500,Devondale,500 mL,Dairy,Cheese,2.15,1.66,0.23,4,6.64,5
9,FD71F303, CUS4311,Female,VIC,Cash,ITM38008,Pepsi,1500 mL,Beverages,Soft Drinks,15.34,11.97,0.22,1,11.97,5
9,FD71F303, CUS4311,Female,VIC,Cash,ITM50876,Lilydale,250 g,Meat,Chicken,22.79,16.41,0.28,1,16.41,4
9,FD71F303, CUS4311,Female,VIC,Cash,ITM34498,Bertocchi,500 g,Meat,Pork,7.1,5.11,0.28,1,5.11,5
10,745684DD,CUS9274,Female,NSW,Cash,ITM68123,Jalna,1000 mL,Dairy,Yogurt,11.94,8.6,0.28,1,8.6,5
10,745684DD,CUS9274,Female,NSW,Cash,ITM65080,Coles Brand,1500 g,Produce,Fruits,18.75,18.56,0.01,1,18.56,4
10,745684DD,CUS9274,Female,NSW,Cash,ITM34137,Heinz,500 g,Pantry,Canned Food,9.27,6.67,0.28,5,33.35,5
11,8BEB3C2B,CUS1463,Female,QLD,Cash,ITM76900,Sunrice,750 g,Pantry,Rice,3.77,3.73,0.01,1,3.73,5
11,8BEB3C2B,CUS1463,Female,QLD,Cash,ITM81101,Red Rock Deli,300 g,Snacks,Chips,11.15,8.36,0.25,4,33.44,5
11,8BEB3C2B,CUS1463,Female,QLD,Cash,ITM85988,Coles Bakery,8 pack,Bakery,Cake,16.64,13.15,0.21,4,52.6,4
11,8BEB3C2B,CUS1463,Female,QLD,Cash,ITM91313,Cadbury,200 g,Snacks,Chocolate,7.25,7.18,0.01,4,28.72,5
11,8BEB3C2B,CUS1463,Female,QLD,Cash,ITM76678,Coles Bakery,4 pack,Bakery,Pastries,19.96,14.97,0.25,3,44.91,3
12,7F2DC69A,CUS5609,Female,SA,Cash,ITM30505,Coles RSPCA Approved,1000 g,Meat,Chicken,3.05,2.26,0.26,3,6.78,5
12,7F2DC69A,CUS5609,Female,SA,Cash,ITM72983,Daily Juice,500 mL,Beverages,Juice,23.73,18.03,0.24,4,72.12,2
12,7F2DC69A,CUS5609,Female,SA,Cash,ITM72983,Golden Circle,500 mL,Beverages,Juice,23.73,18.03,0.24,4,72.12,3
