Cart ID,Transaction ID,Customer ID,Gender,Location,Payment type,Item ID,Brand Name,Brand Size,Category,Subcategory,Unit Price,Best Price,Discount,Quantity,Total Item Price,Quality Score,Replaced,Substitute ID,Substitute Brand,Substitute Size,Substitute Price,Substitute Quality,Price Saved
1,7A4600F7, CUS1405,Male,NSW,Cash,ITM45168,Arnott's,200 g,Snacks,Biscuits,10.73,8.15,0.24,2,16.3,5,Yes,ITM73444,Oreo,200 g,5.54,5.0,5.22
1,7A4600F7, CUS1405,Male,NSW,Cash,ITM49209,Red Bull,1500 mL,Beverages,Energy Drinks,18.12,16.85,0.07,2,33.7,5,Yes,ITM80294,Monster,1500 mL,11.65,5.0,10.4
1,7A4600F7, CUS1405,Male,NSW,Cash,ITM37711,Tilda,1000 g,Pantry,Rice,2.3,2.25,0.02,5,11.25,5,Yes,ITM14960,Paul's,500 mL,2.16,5.0,0.45
1,7A4600F7, CUS1405,Male,NSW,Cash,ITM73444,Arnott's,200 g,Snacks,Biscuits,6.75,5.54,0.18,1,5.54,5,Yes,ITM80077,SPC,250 g,2.41,5.0,3.13
2,B45A06D6,CUS1264,Female,NSW,Debit Card,ITM82173,Red Bull,1500 mL,Beverages,Energy Drinks,8.27,7.61,0.08,4,30.44,5,Yes,ITM54765,V,1500 mL,7.05,5.0,2.24
2,B45A06D6,CUS1264,Female,NSW,Debit Card,ITM82173,V,1500 mL,Beverages,Energy Drinks,8.27,7.61,0.08,4,30.44,5,Yes,ITM54765,V,1500 mL,7.05,5.0,2.24
2,B45A06D6,CUS1264,Female,NSW,Debit Card,ITM61269,V,2000 mL,Beverages,Energy Drinks,22.44,21.54,0.04,5,107.7,4,Yes,ITM99586,Monster,2000 mL,17.51,4.0,20.15
2,B45A06D6,CUS1264,Female,NSW,Debit Card,ITM32607,SPC,750 g,Pantry,Canned Food,7.09,5.81,0.18,5,29.05,5,Yes,ITM80077,Heinz,250 g,2.41,5.0,17.0
2,B45A06D6,CUS1264,Female,NSW,Debit Card,ITM76397,San Remo,500 g,Pantry,Pasta,10.42,9.69,0.07,1,9.69,5,Yes,ITM76900,Sunrice,750 g,3.73,5.0,5.96
3,43BC82CC,CUS4311,Female,VIC,Credit Card,ITM76397,San Remo,500 g,Pantry,Pasta,10.42,9.69,0.07,1,9.69,5,Yes,ITM76900,Sunrice,750 g,3.73,5.0,5.96
3,43BC82CC,CUS4311,Female,VIC,Credit Card,ITM28063,Australian Fresh,1500 g,Produce,Vegetables,23.96,17.73,0.26,1,17.73,2,Yes,ITM28085,Australian Fresh,1000 g,17.21,2.0,0.52
3,43BC82CC,CUS4311,Female,VIC,Credit Card,ITM50710,Yoplait,500 mL,Dairy,Yogurt,23.48,18.55,0.21,5,92.75,3,Yes,IT91471,Jalna,500 mL,15.97,4.0,12.9
3,43BC82CC,CUS4311,Female,VIC,Credit Card,ITM35008,V,250 mL,Beverages,Energy Drinks,15.96,13.09,0.18,1,13.09,5,Yes,ITM49103,Tip Top,2 pack,7.84,5.0,5.25
4,FDFD1604,CUS3819,Male,VIC,Credit Card,ITM99787,Coles Brand,500 g,Meat,Pork,11.61,11.38,0.02,2,22.76,5,Yes,ITM76397,Barilla,500 g,9.69,5.0,3.38
4,FDFD1604,CUS3819,Male,VIC,Credit Card,ITM37711,Sunrice,1000 g,Pantry,Rice,2.3,2.25,0.02,5,11.25,5,Yes,ITM14960,Paul's,500 mL,2.16,5.0,0.45
4,FDFD1604,CUS3819,Male,VIC,Credit Card,ITM90145,Berri,250 mL,Beverages,Juice,14.17,10.91,0.23,1,10.91,5,Yes,ITM35008,Coles Brand,250 mL,8.34,5.0,2.57
5,BF9C6A34,CUS6241,Female,VIC,Credit Card,ITM74950,Lilydale,1500 g,Meat,Chicken,20.08,15.86,0.21,2,31.72,5,Yes,ITM69561,Dairy Farmers,500 mL,15.67,4.0,0.38
5,BF9C6A34,CUS6241,Female,VIC,Credit Card,ITM55806,Smith's,150 g,Snacks,Chips,18.78,14.65,0.22,3,43.95,4,Yes,ITM13754,Smith's,200 g,13.09,4.0,4.68
5,BF9C6A34,CUS6241,Female,VIC,Credit Card,ITM49902,Coles Brand,750 g,Meat,Pork,6.32,6.0,0.05,1,6.0,5,Yes,ITM14960,A2 Milk,500 mL,2.16,5.0,3.84
6,5AF8C520,CUS3151,Male,NSW,Credit Card,ITM49021,Coles Bakery,1 pack,Bakery,Cake,5.34,4.54,0.15,5,22.7,5,Yes,ITM14960,Coles Brand,500 mL,2.16,5.0,11.9
6,5AF8C520,CUS3151,Male,NSW,Credit Card,ITM91313,Cadbury,200 g,Snacks,Chocolate,7.25,7.18,0.01,4,28.72,5,Yes,ITM28590,Cadbury,200 g,3.86,5.0,13.28
6,5AF8C520,CUS3151,Male,NSW,Credit Card,ITM76900,Tilda,750 g,Pantry,Rice,3.77,3.73,0.01,1,3.73,5,Yes,ITM37711,Tilda,1000 g,2.25,5.0,1.48
7,54B23516,CUS3819,Male,SA,Credit Card,ITM12153,Barilla,250 g,Pantry,Pasta,9.22,7.56,0.18,4,30.24,5,Yes,IT71803,San Remo,300 g,4.54,5.0,12.08
7,54B23516,CUS3819,Male,SA,Credit Card,ITM91476,San Remo,1000 g,Pantry,Pasta,14.83,12.31,0.17,4,49.24,5,Yes,ITM14617,Bertocchi,1000 g,5.78,5.0,26.12
7,54B23516,CUS3819,Male,SA,Credit Card,ITM90456,Coles Brand,1500 g,Produce,Vegetables,6.61,6.54,0.01,4,26.16,5,Yes,ITM70911,Australian Fresh,500 g,5.03,5.0,6.04
7,54B23516,CUS3819,Male,SA,Credit Card,ITM50876,Lilydale,250 g,Meat,Chicken,22.79,16.41,0.28,1,16.41,4,Yes,ITM17443,Daily Juice,500 mL,14.68,3.0,1.73
8,C55B4FD1,CUS1364,Male,SA,Credit Card,ITM98744,Red Rock Deli,250 g,Snacks,Chips,15.57,11.37,0.27,2,22.74,5,Yes,ITM81101,Smith's,300 g,8.36,5.0,6.02
8,C55B4FD1,CUS1364,Male,SA,Credit Card,ITM79306,Abbott's Village,6 pack,Bakery,Bread,7.8,6.01,0.23,1,6.01,5,Yes,ITM49802,Tip Top,2 pack,3.91,5.0,2.1
8,C55B4FD1,CUS1364,Male,SA,Credit Card,ITM23586,Yoplait,2000 mL,Dairy,Yogurt,19.96,15.97,0.2,1,15.97,4,Yes,ITM10665,Coles Brand,2000 mL,15.34,4.0,0.63
8,C55B4FD1,CUS1364,Male,SA,Credit Card,ITM10665,Coca-Cola,2000 mL,Beverages,Soft Drinks,17.24,15.34,0.11,1,15.34,5,Yes,ITM21419,Paul's,2000 mL,14.4,5.0,0.94
8,C55B4FD1,CUS1364,Male,SA,Credit Card,ITM32500,Devondale,500 mL,Dairy,Cheese,2.15,1.66,0.23,4,6.64,5,No,,,,,,
9,FD71F303, CUS4311,Female,VIC,Cash,ITM38008,Pepsi,1500 mL,Beverages,Soft Drinks,15.34,11.97,0.22,1,11.97,5,Yes,ITM54765,V,1500 mL,7.05,5.0,4.92
9,FD71F303, CUS4311,Female,VIC,Cash,ITM50876,Lilydale,250 g,Meat,Chicken,22.79,16.41,0.28,1,16.41,4,Yes,ITM17443,Daily Juice,500 mL,14.68,3.0,1.73
9,FD71F303, CUS4311,Female,VIC,Cash,ITM34498,Bertocchi,500 g,Meat,Pork,7.1,5.11,0.28,1,5.11,5,Yes,ITM54167,Coles Brand,500 g,3.34,5.0,1.77
10,745684DD,CUS9274,Female,NSW,Cash,ITM68123,Jalna,1000 mL,Dairy,Yogurt,11.94,8.6,0.28,1,8.6,5,Yes,ITM26641,Coles Brand,1000 mL,7.8,5.0,0.8
10,745684DD,CUS9274,Female,NSW,Cash,ITM65080,Coles Brand,1500 g,Produce,Fruits,18.75,18.56,0.01,1,18.56,4,Yes,ITM35042,Coles Brand,1500 g,11.65,5.0,6.91
10,745684DD,CUS9274,Female,NSW,Cash,ITM34137,Heinz,500 g,Pantry,Canned Food,9.27,6.67,0.28,5,33.35,5,Yes,ITM32607,SPC,750 g,5.81,5.0,4.3
11,8BEB3C2B,CUS1463,Female,QLD,Cash,ITM76900,Sunrice,750 g,Pantry,Rice,3.77,3.73,0.01,1,3.73,5,Yes,ITM37711,Tilda,1000 g,2.25,5.0,1.48
11,8BEB3C2B,CUS1463,Female,QLD,Cash,ITM81101,Red Rock Deli,300 g,Snacks,Chips,11.15,8.36,0.25,4,33.44,5,Yes,ITM45168,TUC,200 g,8.15,5.0,0.84
11,8BEB3C2B,CUS1463,Female,QLD,Cash,ITM85988,Coles Bakery,8 pack,Bakery,Cake,16.64,13.15,0.21,4,52.6,4,Yes,ITM79306,Tip Top,6 pack,6.01,5.0,28.56
11,8BEB3C2B,CUS1463,Female,QLD,Cash,ITM91313,Cadbury,200 g,Snacks,Chocolate,7.25,7.18,0.01,4,28.72,5,Yes,ITM28590,Cadbury,200 g,3.86,5.0,13.28
11,8BEB3C2B,CUS1463,Female,QLD,Cash,ITM76678,Coles Bakery,4 pack,Bakery,Pastries,19.96,14.97,0.25,3,44.91,3,Yes,ITM17443,Daily Juice,500 mL,14.68,3.0,0.87
12,7F2DC69A,CUS5609,Female,SA,Cash,ITM30505,Coles RSPCA Approved,1000 g,Meat,Chicken,3.05,2.26,0.26,3,6.78,5,Yes,ITM45482,Cool Ridge,2000 mL,1.15,5.0,3.33
12,7F2DC69A,CUS5609,Female,SA,Cash,ITM72983,Daily Juice,500 mL,Beverages,Juice,23.73,18.03,0.24,4,72.12,2,Yes,ITM50843,Berri,250 mL,17.13,3.0,3.6
12,7F2DC69A,CUS5609,Female,SA,Cash,ITM72983,Golden Circle,500 mL,Beverages,Juice,23.73,18.03,0.24,4,72.12,3,Yes,ITM50843,Berri,250 mL,17.13,3.0,3.6
12,7F2DC69A,CUS5609,Female,SA,Cash,ITM99586,V,2000 mL,Beverages,Energy Drinks,20.13,17.51,0.13,4,70.04,4,Yes,ITM38008,Coca-Cola,1500 mL,11.97,5.0,22.16
13,76AA1678,CUS1799,Male,NSW,Credit Card,ITM45752,Coles Brand,1500 g,Produce,Vegetables,14.81,11.85,0.2,4,47.4,4,Yes,ITM19369,Australian Fresh,1500 g,9.57,5.0,9.12
13,76AA1678,CUS1799,Male,NSW,Credit Card,ITM88148,Chobani,1500 mL,Dairy,Yogurt,14.25,14.11,0.01,2,28.22,5,Yes,ITM80294,Monster,1500 mL,11.65,5.0,4.92
