Description,Amount,Price,Image URL,Category
"Ready, Set… Cook! Marinated Whole RSPCA Approved Chicken",1kg,$5.99,https://www.aldi.com.au/fileadmin/_processed_/3/a/csm_1002781_REDUCTIONS_R44_OCT28_17_8a_RET_00c1e47276.jpg,"Poultry, Meat & Seafood"
"Ready, Set… Cook! Thin Sausages",500g,$3.69,https://www.aldi.com.au/fileadmin/_processed_/c/0/csm_1002781_REDUCTIONS_R43_OCT11_9_3a_RET_4b19c5bdc1.jpg,"Poultry, Meat & Seafood"
"Ready, Set… Cook! Pork Sausages",500g,$3.69,https://www.aldi.com.au/fileadmin/_processed_/1/4/csm_1002781_REDUCTIONS_R43_OCT11_11_4a_RET_4344aed24e.jpg,"Poultry, Meat & Seafood"
"Ready, Set… Cook! Beef Sausages Honey Flavour",500g,$3.69,https://www.aldi.com.au/fileadmin/_processed_/2/9/csm_1002781_REDUCTIONS_R43_OCT11_13_5a_RET_5783684440.jpg,"Poultry, Meat & Seafood"
Jindurra Station Beef Sizzle Steak,1kg,$22.99,https://www.aldi.com.au/fileadmin/_processed_/b/9/csm_1002781_REDUCTIONS_R41_SEP24_20_1a_RET_94327dbd1e.jpg,"Poultry, Meat & Seafood"
Ironbark Pork Pork Mince,500g,$4.29,https://www.aldi.com.au/fileadmin/_processed_/f/1/csm_1002781_REDUCTIONS_R40_SEP19_1_1a_RET_538bcc595f.jpg,"Poultry, Meat & Seafood"
Ironbark Pork Pork Loin Roast,1kg,$12.49,https://www.aldi.com.au/fileadmin/_processed_/0/9/csm_1002781_REDUCTIONS_R40_SEP19_3_2a_RET_c7745fccba.jpg,"Poultry, Meat & Seafood"
Willowton Free Range Chicken Drumsticks,1kg,$4.99,https://www.aldi.com.au/fileadmin/_processed_/0/2/csm_1002781_REDUCTIONS_R39_SEP11_1_1a_RET_ccf2b0c2d9.jpg,"Poultry, Meat & Seafood"
"Ready, Set…Cook! Chicken Burgers 1.",2kg,$9.99,https://www.aldi.com.au/fileadmin/_processed_/b/e/csm_1002781_REDUCTIONS_R37_SEP02_16_1x1_9a_RET_cf4b95d75d.jpg,"Poultry, Meat & Seafood"
Killarnee Lamb Loin Chops,1kg,$19.99,https://www.aldi.com.au/fileadmin/_processed_/a/0/csm_1002781_REDUCTIONS_R37_SEP02_20_1x1_11a_RET_67fab77170.jpg,"Poultry, Meat & Seafood"
