Store,Timestamp,Product Name,Size,Original Price,Discounted Price,Unit Price,Product Link
Foodland Balaklava,2025-05-04 23:54:15,Bananas Per Kg,N/A,N/A,$1.08,$4.90 per kg,https://foodlandbalaklava.com.au//lines/bananas-per-kg
Foodland Balaklava,2025-05-04 23:54:15,Foodland Full Cream Milk,3L,was $5.55,$5.10,$1.70 per L,https://foodlandbalaklava.com.au//lines/f-land-whole-milk-3lt
Foodland Balaklava,2025-05-04 23:54:15,Tomatoes Per Kg,N/A,was $5.90 per kg,$0.63,$4.50 per kg,https://foodlandbalaklava.com.au//lines/tomatoes-1st-coloured-kg
Foodland Balaklava,2025-05-04 23:54:15,Carrots,1kg,N/A,$1.90,$1.90 per kg,https://foodlandbalaklava.com.au//lines/carrots-1-kg
Foodland Balaklava,2025-05-04 23:54:15,Strawberries Punnet,250g,N/A,$8.00,$32.00 per kg,https://foodlandbalaklava.com.au//lines/strawberries-punnet-250g-21
Foodland Balaklava,2025-05-04 23:54:15,Cucumber Continental Each,N/A,N/A,$2.40,N/A,https://foodlandbalaklava.com.au//lines/cucumber-continental-each
Foodland Balaklava,2025-05-04 23:54:15,Seedless Watermelon Per Kg,N/A,N/A,$5.90,$5.90 per kg,https://foodlandbalaklava.com.au//lines/seedless-watermelon-per-kg
Foodland Balaklava,2025-05-04 23:54:15,Hot Chicken Ex Large,N/A,N/A,$12.99,N/A,https://foodlandbalaklava.com.au//lines/hot-chicken-ex-large-1
Foodland Balaklava,2025-05-04 23:54:15,Apples Pink Lady Per Kg,N/A,N/A,$1.07,$5.95 per kg,https://foodlandbalaklava.com.au//lines/apples-pink-lady-per-kg
Foodland Balaklava,2025-05-04 23:54:15,Grapes white seedless per kg,N/A,N/A,$8.00,N/A,https://foodlandbalaklava.com.au//lines/white-seedless-grapes-per-kg
Foodland Balaklava,2025-05-04 23:54:15,Lettuce Iceberg,N/A,was $5.90,$4.50,N/A,https://foodlandbalaklava.com.au//lines/lettuce-iceberg
Foodland Balaklava,2025-05-04 23:54:15,Capsicum Red Per Kg,N/A,N/A,$2.02,$12.60 per kg,https://foodlandbalaklava.com.au//lines/capsicum-red-per-kg
Foodland Balaklava,2025-05-04 23:54:15,"Wonder White Wonder High Fibre, Vitamins & Minerals White Sliced Bread Sandwich",700g,was $5.45,$4.50,$0.64 per 100g,https://foodlandbalaklava.com.au//lines/wonder-wht-s-wc-vit-min-700gm
Foodland Balaklava,2025-05-04 23:54:15,Foodland Reduced Fat Milk,2L,was $3.80,$3.40,$1.70 per L,https://foodlandbalaklava.com.au//lines/f-land-reduced-fat-milk-2lt
Foodland Balaklava,2025-05-04 23:54:15,Avocado Pear Each,N/A,N/A,$3.20,N/A,https://foodlandbalaklava.com.au//lines/avocado-pear-each
Foodland Balaklava,2025-05-04 23:54:15,Foodland Thickened Cream,300mL,was $3.80,$3.60,$1.20 per 100mL,https://foodlandbalaklava.com.au//lines/f-land-cream-thickened-300ml
Foodland Balaklava,2025-05-04 23:54:15,Onions Brown Loose Per Kg,N/A,N/A,$0.64,$3.50 per kg,https://foodlandbalaklava.com.au//lines/onions-brown-loose-per-kg
Foodland Balaklava,2025-05-04 23:54:15,Broccoli Pieces Per Kg,N/A,N/A,$2.73,$6.20 per kg,https://foodlandbalaklava.com.au//lines/broccoli-pieces-per-kg
Foodland Balaklava,2025-05-04 23:54:15,Tomatoes Mini Roma,200g,was $4.40,$3.30,$16.50 per kg,https://foodlandbalaklava.com.au//lines/tomatoes-mini-roma-200gm-2
Foodland Balaklava,2025-05-04 23:54:15,Foodland Full Cream Milk,2L,was $3.80,$3.40,$1.70 per L,https://foodlandbalaklava.com.au//lines/f-land-whole-milk-2lt
Foodland Balaklava,2025-05-04 23:54:15,Pears Green Per Kg,N/A,N/A,$1.07,$5.50 per kg,https://foodlandbalaklava.com.au//lines/pears-green-per-kg
Foodland Balaklava,2025-05-04 23:54:15,Country Fresh Egg Caged 12pk,700g,N/A,$5.20,$0.74 per 100g,https://foodlandbalaklava.com.au//lines/c-frsh-egg-caged-12pk-700gm
Foodland Balaklava,2025-05-04 23:54:15,Buttercup Bread White,700g,N/A,$3.50,$0.50 per 100g,https://foodlandbalaklava.com.au//lines/b-cup-bread-white-700g
Foodland Balaklava,2025-05-04 23:54:15,Kc Beef Mince 4 Star,500g,N/A,$11.05,$22.10 per kg,https://foodlandbalaklava.com.au//lines/k-crown-beef-mince-4star-500g
Foodland Balaklava,2025-05-04 23:54:15,Zucchini Loose Per Kg,N/A,N/A,$0.78,$4.20 per kg,https://foodlandbalaklava.com.au//lines/zucchini-loose-per-kg
Foodland Balaklava,2025-05-04 23:54:15,Blueberries Punnet,125g,N/A,$10.40,$83.20 per kg,https://foodlandbalaklava.com.au//lines/blueberries-punnet-125g
Foodland Balaklava,2025-05-04 23:54:15,Chicken Breast Fillets,N/A,N/A,$14.50,N/A,https://foodlandbalaklava.com.au//lines/ingham-chicken-breasts
Foodland Balaklava,2025-05-04 23:54:15,Onions Red Per Kg,N/A,N/A,$1.27,$6.90 per kg,https://foodlandbalaklava.com.au//lines/onions-red-per-kg
Foodland Balaklava,2025-05-04 23:54:15,Black & Gold Full Cream Milk Uht,1L,was $1.60,$1.50,$1.50 per L,https://foodlandbalaklava.com.au//lines/b-gold-milk-f-crm-uht-1l
Foodland Balaklava,2025-05-04 23:54:15,Golden Crumpet Rounds 6pk,N/A,N/A,$4.60,$1.53 per 100g,https://foodlandbalaklava.com.au//lines/golden-crumpets-pk6
Foodland Balaklava,2025-05-04 23:54:15,Tip Top® The One® White Sandwich,700g,was $5.90,$4.50,$0.64 per 100g,https://foodlandbalaklava.com.au//lines/t-top-brd-the-one-white-700gm
Foodland Balaklava,2025-05-04 23:54:15,Plains Producer,N/A,N/A,$3.50,N/A,https://foodlandbalaklava.com.au//lines/plains-producer-1
Foodland Balaklava,2025-05-04 23:54:15,Pura Light Start Milk,2L,was $4.75,$4.70,$2.35 per L,https://foodlandbalaklava.com.au//lines/pura-light-start-2l
Foodland Balaklava,2025-05-04 23:54:15,Black & Gold Cream Thickened,600mL,N/A,$4.50,$0.75 per 100mL,https://foodlandbalaklava.com.au//lines/b-gold-cream-thickened-600ml
Foodland Balaklava,2025-05-04 23:54:15,Onions Brown Pre Pack,1kg,N/A,$3.50,$3.50 per kg,https://foodlandbalaklava.com.au//lines/onions-brown-pre-pack-1kg
Foodland Balaklava,2025-05-04 23:54:15,Potatoes Sweet Per Kg,N/A,was $4.80 per kg,$1.48,$3.60 per kg,https://foodlandbalaklava.com.au//lines/potatoes-sweet-per-kg
Foodland Balaklava,2025-05-04 23:54:15,Raspberries Punnet,125g,N/A,$5.80,$46.40 per kg,https://foodlandbalaklava.com.au//lines/raspberries-punnet-125g
Foodland Balaklava,2025-05-04 23:54:15,Golden Bakery 6 Crumpet Squares 6 Pack,425g,was $4.90,$3.50,$0.82 per 100g,https://foodlandbalaklava.com.au//lines/golden-crumpets-brks-425gm
Foodland Balaklava,2025-05-04 23:54:15,Rockmelon Per Kg,N/A,N/A,$2.70,$5.50 per kg,https://foodlandbalaklava.com.au//lines/rockmelon-per-kg
Foodland Balaklava,2025-05-04 23:54:15,Foodland Water,10L,was $5.15,$4.20,$0.42 per L,https://foodlandbalaklava.com.au//lines/f-land-spring-water-10l
Foodland Balaklava,2025-05-04 23:54:15,Birds Eye Golden Crunch Supercrunch Chips,750g,was $5.90,$5.00,$6.67 per kg,https://foodlandbalaklava.com.au//lines/b-eye-chips-s-c-crunch-750gm
Foodland Balaklava,2025-05-04 23:54:15,Mission Original Wraps 8pk,N/A,was $5.80,$4.50,$0.79 per 100g,https://foodlandbalaklava.com.au//lines/mission-wraps-original-8pk
