Item_ID,category,item_name,best_price,item_price,unit_price,sub-category,Brand,Discount,quantity,total_price,Transaction ID,Gender,Store,Location,Payment Method,Date
236292,Health & Beauty,L'Oreal Casting Creme Gloss Darkest Brown Hair ... 1 each,10.0,10.0,10.001,,L'Oreal,0.0,2,20.0,T-a33370099c,Female,Coles,Perth,Voucher,2024-12-27
352562,Health & Beauty,Pantene Pro-V Always Smooth & Sleek Shampoo | 900mL,12.0,20.0,2.221,,Pantene,0.2,6,72.0,T-a4b38686da,Male,Coles,Sydney,Cash,2025-01-10
981802,Meat & Seafood,Coles RSPCA Approved Chicken Thigh ... approx 1.2kg,16.2,16.2,13.501,,Coles,0.0,5,81.0,T-48ca37fb3f,Male,Coles,Canberra,Voucher,2024-11-07
509001,Health & Beauty,L'Oreal Men Expert Moisturiser Magnesium ... 50mL,10.8,10.8,21.601,,L'Oreal,0.0,4,43.2,T-ea686b6563,Female,Coles,Hobart,Voucher,2025-04-21
374815,"Dairy, Eggs & Fridge",Chobani Fit High Protein Greek Yogurt Tropical | 160g,2.8,2.8,1.751,,Chobani,0.2,2,5.6,T-a67d04b7f1,Female,Coles,Sydney,Cash,2025-03-19
225755,Health & Beauty,Maui Moisture Coconut Oil Shampoo | 385mL,26.0,26.0,6.751,,Maui,0.0,2,52.0,T-8a9ea7913b,Female,Coles,Canberra,Voucher,2024-11-05
979170,Bakery,Breadtop Chocolate Ganache Bun | 1 each,3.75,3.75,3.751,,Breadtop,0.0,1,3.75,T-a6bc28e3f9,Female,Coles,Canberra,Online,2025-02-05
739843,"Dairy, Eggs & Fridge",Chris' Deli Dip Avocado Feta & Jalapeno | 170g,6.0,6.0,3.531,,Chris,0.2,4,24.0,T-3f6d8b6b9e,Male,Coles,Sydney,Card,2025-02-09
882462,"Dairy, Eggs & Fridge",Coles Cage Free Eggs 12 Pack | 700g,5.0,5.0,0.711,,Coles,0.0,1,5.0,T-eee9dd89c1,Male,Coles,Sydney,Online,2025-02-25
590450,Meat & Seafood,Coles Graze Grass Fed Beef Meatballs | 420g,7.5,7.5,17.861,,Coles,0.3,4,30.0,T-3cfb2b5858,Male,Coles,Adelaide,Voucher,2025-03-23
337693,"Dairy, Eggs & Fridge",Coles Kitchen Buffalo Chicken Mac & Cheese | 350g,7.0,7.5,2.141,,Coles,0.3,6,42.0,T-cd9d9da523,Female,Coles,Brisbane,Cash,2024-12-28
604786,Drinks,Bickford's Cranberry Juice Drink | 1L,5.5,5.5,5.501,,Bickford's ,0.0,2,11.0,T-1c50ec7c8b,Male,Coles,Brisbane,Online,2024-12-08
540470,"Dairy, Eggs & Fridge",Brancourts Lactose Free Cottage Cheese | 225g,4.0,4.0,17.781,,Brancourts ,0.3,2,8.0,T-3706b7bf56,Female,Coles,Darwin,Online,2024-10-24
617905,"Dairy, Eggs & Fridge",Coles Perform Lean Satay Style Chicken | 340g,9.0,10.0,2.941,,Coles,0.0,4,36.0,T-05c97f13a5,Male,Coles,Darwin,Online,2025-02-19
